DeckName,Archetype,Brew,Priority,Thumbnail
Cycle Storm,Combo,Meta,1,https://s.deckbox.org/system/images/mtg/cards/2077731.jpg
Poison Storm,Combo,Meta,2,https://s.deckbox.org/system/images/mtg/cards/2037217.jpg
Elves,Aggro,Meta,3,https://s.deckbox.org/system/images/mtg/cards/2070377.jpg
Jund Wildfire,Midrange,Meta,4,https://s.deckbox.org/system/images/mtg/cards/2056607.jpg
Mono U Snakes,Tempo,Meta,5,https://s.deckbox.org/system/images/mtg/cards/2076092.jpg
Mono U Faeries,Tempo,Meta,6,https://s.deckbox.org/system/images/mtg/cards/2068896.jpg
Mono W Weenie,Aggro,Meta,7,https://s.deckbox.org/system/images/mtg/cards/2060475.jpg
Grixis Affinity,Midrange,Meta,8,https://s.deckbox.org/system/images/mtg/cards/2077766.jpg
Ruby Storm,Combo,Meta,9,https://s.deckbox.org/system/images/mtg/cards/2115848.jpg
Slivers,Aggro,Meta,10,https://s.deckbox.org/system/images/mtg/cards/2112073.jpg
Mono R Rally,Aggro,Meta,11,https://s.deckbox.org/system/images/mtg/cards/2042794.jpg
Mono R Madness,Aggro,Meta,12,https://s.deckbox.org/system/images/mtg/cards/2059355.jpg
Rakdos Madness,Aggro,Meta,13,https://s.deckbox.org/system/images/mtg/cards/2077731.jpg
Mono B Sac,Aggro,Meta,14,https://s.deckbox.org/system/images/mtg/cards/2082387.jpg
Mono B Zombies,Midrange,Meta,15,https://s.deckbox.org/system/images/mtg/cards/2076902.jpg
Mono B Devotion,Midrange,Meta,16,https://s.deckbox.org/system/images/mtg/cards/2108186.jpg
Mill Petitioners,Combo,Meta,17,https://s.deckbox.org/system/images/mtg/cards/2051426.jpg
Serpentine Energy,Tempo,Brew,18,https://s.deckbox.org/system/images/mtg/cards/2114250.jpg
Black Burn,Aggro,Meta,19,https://s.deckbox.org/system/images/mtg/cards/2084446.jpg
Caw Gates,Midrange,Meta,20,https://s.deckbox.org/system/images/mtg/cards/2060135.jpg
Enchantments Prison,Control,Brew,21,https://s.deckbox.org/system/images/mtg/cards/2046131.jpg
Enchantments Aggro,Aggro,Brew,22,https://s.deckbox.org/system/images/mtg/cards/2059224.jpg
Moggwarts,Combo,Meta,23,https://s.deckbox.org/system/images/mtg/cards/2114300.jpg
Selesnya Affinity Weenie,Aggro,Brew,24,https://s.deckbox.org/system/images/mtg/cards/2083103.jpg
Gruul Landfall,Aggro,Meta,25,https://s.deckbox.org/system/images/mtg/cards/2036849.jpg
Hot Dogs,Aggro,Meta,26,https://s.deckbox.org/system/images/mtg/cards/2083531.jpg
Mono G Devotion,Midrange,Meta,27,https://s.deckbox.org/system/images/mtg/cards/2087695.jpg
Mono G Land Aggro,Aggro,Meta,28,https://s.deckbox.org/system/images/mtg/cards/2046201.jpg
Gruul Ramp,Midrange,Meta,29,https://s.deckbox.org/system/images/mtg/cards/2085496.jpg
