Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Alms of the Vein,Sorcery,{2}{B},Common,$0.57,main,https://s.deckbox.org/system/images/mtg/cards/2093434.jpg,2025-12-12 06:27:38 UTC,116358,79b80948-a3cd-4962-8fce-d58f2db7e68e
4,Blightning,Sorcery,{1}{B}{R},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2070950.jpg,2025-12-12 06:29:29 UTC,27617,3c05e8a2-b7d0-4f24-b2ae-8e4db30e5842
4,Bump in the Night,Sorcery,{B},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2084446.jpg,2025-09-17 12:58:37 UTC,55918,5c3ec389-a267-484f-994d-4a29ef494eb1
2,Fruit of Tizerus,Sorcery,{B},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2108032.jpg,2025-12-12 06:28:37 UTC,207135,66e577a0-e5d7-4e6a-919c-d85c2ae819ce
4,Hopeless Nightmare,Enchantment,{B},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2046131.jpg,2025-09-17 12:58:53 UTC,512703,2c2ee817-9ca9-4f09-bc71-7994c19a9470
4,Jagged Barrens,Land - Desert,"",Common,$0.56,main,https://s.deckbox.org/system/images/mtg/cards/2055224.jpg,2025-09-17 13:27:09 UTC,544236,5d809f5b-d965-4cb1-a9f8-2048f8534373
4,Okiba Reckoner Raid // Nezumi Road Captain,Enchantment - Saga // Enchantment Creature - Rat Rogue,{B},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2025600.jpg,2025-09-17 13:07:04 UTC,262474,4f0582b4-d951-4450-b158-4a34109e48cd
4,Rakdos Carnarium,Land,"",Common,$0.41,main,https://s.deckbox.org/system/images/mtg/cards/2052975.jpg,2025-12-12 06:27:00 UTC,534741,b2eaa0f2-9f8e-4b41-8916-9c9a985c39de
2,Soul Reap,Sorcery,{1}{B},Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2069456.jpg,2025-09-17 13:07:40 UTC,27206,e2a129e2-bed5-4ee7-b223-851452f72682
4,Sovereign's Bite,Sorcery,{1}{B},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2100944.jpg,2025-09-17 13:22:58 UTC,168466,5326d251-bb91-4653-b1fa-44f14c4e0b88
4,Sunscorched Desert,Land - Desert,,Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2096103.jpg,2025-12-12 06:26:52 UTC,130062,405434c7-9206-45b7-af0f-d59aae294d39
9,Swamp,Basic Land - Swamp,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2301289.jpg,2025-12-12 06:29:45 UTC,662980,f0b234d8-d6bb-48ec-8a4d-d8a570a69c62
4,Tyrant's Choice,Sorcery,{1}{B},Common,$0.85,main,https://s.deckbox.org/system/images/mtg/cards/2089295.jpg,2025-09-17 12:58:40 UTC,83131,533fd990-d3f9-41c6-b979-7f1211da8004
4,Vampire's Kiss,Sorcery,{1}{B},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2023799.jpg,2025-09-17 13:27:57 UTC,254799,974bf8cc-4259-48cc-8e7f-1580bb010d3f
4,Cornered by Black Mages,Sorcery,{1}{B}{B},Common,$0.13,sideboard,https://s.deckbox.org/system/images/mtg/cards/2295179.jpg,2025-12-12 06:28:32 UTC,634042,688fcf8a-0a44-416a-8086-83acf9a6fe69
1,Evincar's Justice,Sorcery,{2}{B}{B},Common,$0.22,sideboard,https://s.deckbox.org/system/images/mtg/cards/2077967.jpg,2025-12-12 06:28:16 UTC,5545,5d53f46f-b069-4b34-af4b-98143328c078
2,Serrated Scorpion,Creature - Scorpion,{B},Common,$0.08,sideboard,https://s.deckbox.org/system/images/mtg/cards/2108875.jpg,2025-12-12 06:28:09 UTC,212757,bc8f0242-35e1-4409-9321-56e742e8fef4
1,Trespasser's Curse,Enchantment - Aura Curse,{1}{B},Common,$0.30,sideboard,https://s.deckbox.org/system/images/mtg/cards/2096329.jpg,2025-09-17 13:25:06 UTC,130292,f6ef4c59-ab84-4d84-b795-015b21ae3fe0

