Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Balemurk Leech,Creature - Leech,{1}{B},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2059301.jpg,2025-05-30 06:42:38 UTC,578056,f0621b32-95c5-4f70-96cf-d46d20efc85d
3,Brine Giant,Creature - Giant,{6}{U},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2108106.jpg,2026-02-04 14:29:55 UTC,206647,6811a9dc-e521-4c9e-accb-1efb8346c1db
2,Clawing Torment,Enchantment - Aura,{B},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2025572.jpg,2026-02-04 14:22:22 UTC,262862,621fce96-5933-4e2b-98ec-2589940e24cb
4,Contaminated Landscape,Land,"",Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2056617.jpg,2026-02-04 14:27:22 UTC,553276,e2312c49-1627-47ad-8113-78a999a97d8d
2,Derelict Attic // Widow's Walk,Enchantment - Room // Enchantment - Room,{2}{B} // {3}{B},Common,$0.04,main,https://s.deckbox.org/system/images/mtg/cards/2059310.jpg,2025-05-30 06:42:38 UTC,579325,2cae24c1-53f1-4f3f-8795-b634c46a17c4
4,Dream Stalker,Creature - Illusion,{1}{U},Common,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2066196.jpg,2026-01-14 21:27:40 UTC,14208,a0e8fc8e-3b23-4275-b19b-43aa6a307619
4,Evil Presence,Enchantment - Aura,{B},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2083592.jpg,2026-02-04 14:22:04 UTC,39513,4dd00bc5-234c-4ded-b0b7-1181bc16cb28
4,Hopeless Nightmare,Enchantment,{B},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2046131.jpg,2025-05-30 07:14:32 UTC,512703,2c2ee817-9ca9-4f09-bc71-7994c19a9470
3,Island,Basic Land - Island,"",BasicLand,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2313155.jpg,2026-02-04 14:27:01 UTC,671038,b0da67fb-1cb2-4105-ab5c-b7c680b8116c
4,Okiba Reckoner Raid // Nezumi Road Captain,Enchantment - Saga // Enchantment Creature - Rat Rogue,{B},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2025600.jpg,2025-05-30 06:42:38 UTC,262474,4f0582b4-d951-4450-b158-4a34109e48cd
1,Omen of the Dead,Enchantment,{B},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2108255.jpg,2026-02-04 14:25:52 UTC,207057,8023fc44-fb8e-420d-a68c-b45912c4e5bd
2,Omen of the Sea,Enchantment,{1}{U},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2108021.jpg,2026-02-04 14:22:19 UTC,206769,a5f30ecd-d009-4d44-aef4-c926ed55a521
4,Sea's Claim,Enchantment - Aura,{U},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2080269.jpg,2026-02-04 14:22:15 UTC,12808,82e836c8-4371-402f-8f90-81325a9879b8
1,Serpent's Pass,Land,"",Common,$0.10,main,https://s.deckbox.org/system/images/mtg/cards/2301284.jpg,2026-02-04 14:27:34 UTC,661979,ad87bff5-9b8c-44e4-a6d3-8cc71be9640a
4,Soured Springs,Land - Desert,"",Common,$0.10,main,https://s.deckbox.org/system/images/mtg/cards/2055229.jpg,2025-07-16 16:21:13 UTC,544237,67daa31c-d9c4-4c22-b29c-1b8a17d577e5
6,Swamp,Basic Land - Swamp,"",BasicLand,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2313156.jpg,2026-02-04 14:26:47 UTC,671040,1dd4d605-02a2-4183-b191-0bca8dfbf962
4,The Modern Age // Vector Glider,Enchantment - Saga // Enchantment Creature - Spirit,{1}{U},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2025546.jpg,2025-05-30 06:44:30 UTC,261985,ee60a8e9-3201-4a7e-8aa4-2c5e1042c8a5
4,Weakstone's Subjugation,Enchantment - Aura,{U},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2033414.jpg,2026-02-04 14:22:41 UTC,453025,ef93ac79-8575-40f8-a222-63c2ffb30f60
2,Annul,Instant,{U},Uncommon,$0.17,sideboard,https://s.deckbox.org/system/images/mtg/cards/2299162.jpg,2026-02-04 14:45:50 UTC,642436,26dd02c4-569b-437f-b9dd-bd2f1d86a968
3,Bind the Monster,Enchantment - Aura,{U},Common,$0.08,sideboard,https://s.deckbox.org/system/images/mtg/cards/2113129.jpg,2026-02-04 14:44:02 UTC,230938,080be8d1-e453-4250-b917-f0eb26644895
3,Contaminated Ground,Enchantment - Aura,{1}{B},Common,$0.08,sideboard,https://s.deckbox.org/system/images/mtg/cards/2086018.jpg,2026-02-04 14:45:05 UTC,67534,c2384356-0a62-499a-8b28-085974331368
2,Dispel,Instant,{U},Common,$0.33,sideboard,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2026-02-04 14:45:24 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
2,Fear of Lost Teeth,Enchantment Creature - Nightmare,{B},Common,$0.05,sideboard,https://s.deckbox.org/system/images/mtg/cards/2059314.jpg,2026-02-04 14:45:33 UTC,575062,259045fe-f349-4be1-bf29-465d084ed35e
3,Spreading Seas,Enchantment - Aura,{1}{U},Common,$0.29,sideboard,https://s.deckbox.org/system/images/mtg/cards/2081521.jpg,2026-02-04 14:45:07 UTC,33438,37454c1c-4098-4ac2-884e-3f65f1384bdb

