Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
2,Battle Hymn,Instant,{1}{R},Common,$1.51,main,https://s.deckbox.org/system/images/mtg/cards/2084890.jpg,2025-07-16 16:43:39 UTC,58931,43b5d46e-7054-44f8-9a14-b412f2f0ab86
4,Brightstone Ritual,Instant,{R},Common,$1.98,main,https://s.deckbox.org/system/images/mtg/cards/2076594.jpg,2025-07-16 16:43:56 UTC,10350,5b08b0a6-c94e-4407-8a24-c8202497b5f2
4,Bristling Backwoods,Land - Desert,"",Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2055218.jpg,2025-07-16 16:53:29 UTC,544228,d61dfeb7-7f6b-4601-8396-2cbb98165489
4,Dragon Fodder,Sorcery,{1}{R},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2062650.jpg,2025-07-16 16:41:44 UTC,591757,f9abe517-f601-4784-8d62-2350bd755146
4,Goblin Anarchomancer,Creature - Goblin Shaman,{R}{G},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2115848.jpg,2025-07-16 16:41:12 UTC,240454,f7f07a80-05b5-4108-9e68-f8da05866acc
4,Goblin Grenade,Sorcery,{R},Uncommon,$0.55,main,https://s.deckbox.org/system/images/mtg/cards/2084234.jpg,2025-07-16 16:41:55 UTC,47243,394cc2aa-0318-4ccd-a550-99a7eac933c3
4,Goblin Instigator,Creature - Goblin Rogue,{1}{R},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2100993.jpg,2025-07-16 16:41:25 UTC,166706,90cef94d-d941-4e08-afec-a116626b74fb
4,Goblin War Strike,Sorcery,{R},Common,$2.26,main,https://s.deckbox.org/system/images/mtg/cards/2077106.jpg,2025-07-16 16:42:19 UTC,10917,dce59945-37a2-4f09-8831-9d44b4a59ea7
2,Krenko's Command,Sorcery,{1}{R},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2085441.jpg,2025-07-16 16:42:31 UTC,59783,84df41e9-e973-4441-b17f-434517134d46
4,Manamorphose,Instant,{1}{RG},Common,$4.46,main,https://s.deckbox.org/system/images/mtg/cards/2069845.jpg,2025-07-16 16:43:54 UTC,18700,50283122-b8c4-4fb3-8eba-6252b72222f4
4,Mogg War Marshal,Creature - Goblin Warrior,{1}{R},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2070024.jpg,2025-07-16 16:53:39 UTC,14297,8b9e0bdb-b615-447a-b80d-d7244c25c56e
10,Mountain,Basic Land - Mountain,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2301290.jpg,2025-07-16 16:53:18 UTC,662981,c44f81ca-f72f-445c-8901-3a894a2a47f9
4,Reckless Impulse,Sorcery,{1}{R},Common,$0.65,main,https://s.deckbox.org/system/images/mtg/cards/2023843.jpg,2025-07-16 16:43:10 UTC,253542,6943c07f-ab0d-4f5a-bbe9-c0a83dc98546
2,Sandstone Needle,Land,"",Common,$4.45,main,https://s.deckbox.org/system/images/mtg/cards/2072612.jpg,2025-07-16 16:53:20 UTC,6680,82bc7c6b-2e3d-42d1-b2bb-b37b6f34d33b
4,Wrenn's Resolve,Sorcery,{1}{R},Common,$1.21,main,https://s.deckbox.org/system/images/mtg/cards/2040785.jpg,2025-07-16 16:43:21 UTC,491759,9a47999c-12d5-4e1a-a9c1-40a1757007f1

