Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
3,Black Mage's Rod,Artifact - Equipment,{1}{B},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2295175.jpg,2026-02-05 10:06:04 UTC,630932,35e8f140-055f-4fc7-a765-fb030d828214
2,Blood Fountain,Artifact,{B},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2023750.jpg,2026-02-05 10:05:56 UTC,253719,dd03651e-ada0-41dc-8722-0eba476943e3
1,Cryogen Relic,Artifact,{1}{U},Common,$0.24,main,https://s.deckbox.org/system/images/mtg/cards/2298820.jpg,2026-02-05 10:07:00 UTC,643478,7bfb33b6-e2bf-498f-8c58-ae21a840cf75
4,Drossforge Bridge,Artifact Land,"",Common,$0.67,main,https://s.deckbox.org/system/images/mtg/cards/2115673.jpg,2025-05-22 12:27:12 UTC,239716,5b46b8d8-723a-4752-b97d-29ef83bd294c
1,Eviscerator's Insight,Instant,{1}{B},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2056492.jpg,2026-02-05 10:21:18 UTC,552853,b00573bd-5bbb-4531-a0bb-a40f62b92b88
4,Galvanic Blast,Instant,{R},Common,$1.63,main,https://s.deckbox.org/system/images/mtg/cards/2083080.jpg,2023-03-26 08:35:21 UTC,36340,f5881bbc-8600-464d-9dcd-5a7780918d1d
1,Gearseeker Serpent,Creature - Serpent,{5}{U}{U},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2099723.jpg,2026-02-05 10:08:59 UTC,616060,3dca0007-42d3-4ee2-8e88-361d80a7103c
3,Great Furnace,Artifact Land,"",Common,$2.04,main,https://s.deckbox.org/system/images/mtg/cards/2299339.jpg,2026-02-05 10:14:06 UTC,642853,74c5bb44-d72c-4c1a-a38f-86b4a8f49ae1
1,Hunter's Blowgun,Artifact - Equipment,{1},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2048634.jpg,2026-02-05 10:07:09 UTC,526300,3348abe7-6aa3-47f7-8203-a15f75007e33
4,Ichor Wellspring,Artifact,{2},Common,$0.70,main,https://s.deckbox.org/system/images/mtg/cards/2083374.jpg,2023-03-26 08:37:00 UTC,39104,2d1ea522-a0f6-45a8-8985-6fcca95d60cc
3,Krark-Clan Shaman,Creature - Goblin Shaman,{R},Common,$4.90,main,https://s.deckbox.org/system/images/mtg/cards/2077766.jpg,2025-05-22 12:30:30 UTC,11418,975f9ea8-af2c-456f-acd0-ffa9ea0d98c1
1,Makeshift Munitions,Enchantment,{1}{R},Uncommon,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2097739.jpg,2025-05-22 12:32:43 UTC,145604,65689442-e679-4844-91a8-f6a39a7c1f9b
4,Mistvault Bridge,Artifact Land,"",Common,$0.40,main,https://s.deckbox.org/system/images/mtg/cards/2115676.jpg,2025-05-22 12:27:14 UTC,239718,9f36a6e2-3e51-4a30-a225-10cfe6650b9d
4,Myr Enforcer,Artifact Creature - Myr,{7},Common,$0.48,main,https://s.deckbox.org/system/images/mtg/cards/2063687.jpg,2023-03-26 08:39:04 UTC,590103,78a6ec6a-b59d-4c39-a0fa-7e1d2a8a0df3
