Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Arbor Elf,Creature - Elf Druid,{G},Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2085496.jpg,2025-10-30 20:53:16 UTC,60009,b7d6b117-0c14-4455-92fc-29555ee75d97
4,Avenging Hunter,Creature - Dragon Ranger,{4}{G},Common,$2.32,main,https://s.deckbox.org/system/images/mtg/cards/2028344.jpg,2025-10-30 20:58:05 UTC,272747,f4072640-0f9b-4f0a-84cc-eda415cc92e7
2,Bannerhide Krushok,Creature - Beast,{3}{G},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2115576.jpg,2026-01-23 16:47:29 UTC,240465,1271251b-7d79-4cb4-80bb-98574aa63249
3,Boarding Party,Creature - Human Pirate,{5}{R},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2061334.jpg,2026-01-23 16:47:07 UTC,583089,f0e81ce2-7f59-4522-bff7-3dc3e50f8f8f
4,Eldrazi Repurposer,Creature - Eldrazi Drone,{2}{G},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2056549.jpg,2025-10-30 20:56:54 UTC,553314,37f79ba7-7b65-4387-b498-f770816ce8dd
14,Forest,Basic Land - Forest,"",BasicLand,$0.10,main,https://s.deckbox.org/system/images/mtg/cards/2313158.jpg,2026-01-23 16:46:36 UTC,671047,b460f5f7-c7c9-400c-8419-23d614f45bf9
4,Jewel Thief,Creature - Cat Rogue,{2}{G},Common,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2026598.jpg,2025-10-30 20:56:56 UTC,268829,736e498e-1245-40c1-96a4-c9bcfd1cfe1f
4,Malevolent Rumble,Sorcery,{1}{G},Common,$0.41,main,https://s.deckbox.org/system/images/mtg/cards/2056560.jpg,2025-10-30 20:56:09 UTC,553328,a178cfe8-f9fa-4255-88d0-54a0bed079f5
2,Mountain,Basic Land - Mountain,"",BasicLand,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2313157.jpg,2026-01-23 16:46:40 UTC,671046,295b92bc-d66f-45d8-9bbe-5f5f13e39fd4
3,Nyxborn Hydra,Enchantment Creature - Hydra,{X}{G},Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2056563.jpg,2025-10-30 20:56:35 UTC,552872,902a969e-9f22-4e92-93eb-9d4536ca82e5
3,Ram Through,Instant,{1}{G},Common,$0.36,main,https://s.deckbox.org/system/images/mtg/cards/2108946.jpg,2026-01-23 16:46:13 UTC,212717,ac0b24e7-14e7-45ee-b5d8-bdb8674b669c
2,Sagu Wildling // Roost Seek,Creature - Dragon // Sorcery - Omen,{4}{G} // {G},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2290597.jpg,2026-01-23 16:47:53 UTC,624250,d8b43b00-f4d1-436c-bf3f-6d414cd4ce38
4,Utopia Sprawl,Enchantment - Aura,{G},Common,$0.83,main,https://s.deckbox.org/system/images/mtg/cards/2061036.jpg,2025-10-30 20:55:42 UTC,583311,44d14297-f84b-40bd-bd0a-b67d13787ca0
3,Wild Growth,Enchantment - Aura,{G},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2066731.jpg,2025-10-30 20:55:45 UTC,3148,515daaba-c063-41d5-9539-25b8c8cb639c
4,Writhing Chrysalis,Creature - Eldrazi Drone,{2}{R}{G},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2056607.jpg,2025-10-30 20:56:37 UTC,551669,f54dbeb1-51f8-40e2-912a-ec25457de5a2
3,Breath Weapon,Instant,{2}{R},Common,$1.90,sideboard,https://s.deckbox.org/system/images/mtg/cards/2028294.jpg,2025-10-30 20:59:53 UTC,273294,0174e40a-0ef5-4439-91e6-3fc39f482520
4,Deglamer,Instant,{1}{G},Common,$0.76,sideboard,https://s.deckbox.org/system/images/mtg/cards/2061135.jpg,2025-10-30 20:59:11 UTC,582917,7e2f2fcb-ecc1-483f-9e65-ef3dae46b485
4,Horrific Assault,Sorcery,{G},Common,$0.06,sideboard,https://s.deckbox.org/system/images/mtg/cards/2056556.jpg,2025-10-30 20:59:51 UTC,553322,cfa6ed13-7bba-40c0-8e0e-4ffd3cea6241
3,Relic of Progenitus,Artifact,{1},Common,$4.82,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070899.jpg,2025-10-30 20:59:49 UTC,27769,90c41192-64ef-43aa-9af0-75f0d3f56688
1,Suplex,Sorcery,{1}{R},Common,$0.13,sideboard,https://s.deckbox.org/system/images/mtg/cards/2295258.jpg,2026-01-23 16:49:09 UTC,632694,f61693a2-7042-44e0-85ba-9bf12ab94e7e

