Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Arbor Elf,Creature - Elf Druid,{G},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2085496.jpg,2025-10-30 20:53:16 UTC,60009,b7d6b117-0c14-4455-92fc-29555ee75d97
4,Avenging Hunter,Creature - Dragon Ranger,{4}{G},Common,$1.64,main,https://s.deckbox.org/system/images/mtg/cards/2028344.jpg,2025-10-30 20:58:05 UTC,272747,f4072640-0f9b-4f0a-84cc-eda415cc92e7
3,Bannerhide Krushok,Creature - Beast,{3}{G},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2115576.jpg,2025-10-30 20:58:18 UTC,240465,1271251b-7d79-4cb4-80bb-98574aa63249
4,Bushwhack,Sorcery,{G},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2062330.jpg,2025-10-30 20:56:12 UTC,591758,03ebdb36-55e0-49dd-a514-785fbeb4ae19
4,Eldrazi Repurposer,Creature - Eldrazi Drone,{2}{G},Common,$0.10,main,https://s.deckbox.org/system/images/mtg/cards/2056549.jpg,2025-10-30 20:56:54 UTC,553314,37f79ba7-7b65-4387-b498-f770816ce8dd
1,Entourage of Trest,Creature - Elf Soldier,{4}{G},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2044410.jpg,2025-10-30 20:57:16 UTC,507101,78075b31-8145-4053-90dd-6a34bd48fa7c
15,Forest,Basic Land - Forest,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301291.jpg,2025-10-30 20:58:54 UTC,662982,a305e44f-4253-4754-b83f-1e34103d77b0
4,Jewel Thief,Creature - Cat Rogue,{2}{G},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2026598.jpg,2025-10-30 20:56:56 UTC,268829,736e498e-1245-40c1-96a4-c9bcfd1cfe1f
4,Malevolent Rumble,Sorcery,{1}{G},Common,$0.44,main,https://s.deckbox.org/system/images/mtg/cards/2056560.jpg,2025-10-30 20:56:09 UTC,553328,a178cfe8-f9fa-4255-88d0-54a0bed079f5
1,Mountain,Basic Land - Mountain,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2301290.jpg,2025-10-30 20:58:31 UTC,662981,c44f81ca-f72f-445c-8901-3a894a2a47f9
3,Nyxborn Hydra,Enchantment Creature - Hydra,{X}{G},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2056563.jpg,2025-10-30 20:56:35 UTC,552872,902a969e-9f22-4e92-93eb-9d4536ca82e5
2,Suplex,Sorcery,{1}{R},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2295258.jpg,2025-10-30 20:56:06 UTC,632694,f61693a2-7042-44e0-85ba-9bf12ab94e7e
4,Utopia Sprawl,Enchantment - Aura,{G},Common,$0.79,main,https://s.deckbox.org/system/images/mtg/cards/2061036.jpg,2025-10-30 20:55:42 UTC,583311,44d14297-f84b-40bd-bd0a-b67d13787ca0
3,Wild Growth,Enchantment - Aura,{G},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2066731.jpg,2025-10-30 20:55:45 UTC,3148,515daaba-c063-41d5-9539-25b8c8cb639c
4,Writhing Chrysalis,Creature - Eldrazi Drone,{2}{R}{G},Common,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2056607.jpg,2025-10-30 20:56:37 UTC,551669,f54dbeb1-51f8-40e2-912a-ec25457de5a2
3,Breath Weapon,Instant,{2}{R},Common,$1.67,sideboard,https://s.deckbox.org/system/images/mtg/cards/2028294.jpg,2025-10-30 20:59:53 UTC,273294,0174e40a-0ef5-4439-91e6-3fc39f482520
4,Deglamer,Instant,{1}{G},Common,$0.80,sideboard,https://s.deckbox.org/system/images/mtg/cards/2061135.jpg,2025-10-30 20:59:11 UTC,582917,7e2f2fcb-ecc1-483f-9e65-ef3dae46b485
4,Horrific Assault,Sorcery,{G},Common,$0.06,sideboard,https://s.deckbox.org/system/images/mtg/cards/2056556.jpg,2025-10-30 20:59:51 UTC,553322,cfa6ed13-7bba-40c0-8e0e-4ffd3cea6241
3,Relic of Progenitus,Artifact,{1},Common,$4.89,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070899.jpg,2025-10-30 20:59:49 UTC,27769,90c41192-64ef-43aa-9af0-75f0d3f56688
1,Shinen of Life's Roar,Creature - Spirit,{1}{G},Common,$0.16,sideboard,https://s.deckbox.org/system/images/mtg/cards/2079158.jpg,2025-10-30 21:00:06 UTC,12537,a77d9516-7275-40df-8989-418933671263

