Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Ancestral Anger,Sorcery,{R},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2023807.jpg,2025-05-30 07:17:40 UTC,253777,5dee47ab-d603-4346-97f4-a25dc3f47765
4,Apostle's Blessing,Instant,{1}{WP},Common,$0.33,main,https://s.deckbox.org/system/images/mtg/cards/2083553.jpg,2025-05-22 12:03:49 UTC,39466,9f7c3571-925d-486e-80dd-bac47aa48283
4,Assault Strobe,Sorcery,{R},Common,$0.31,main,https://s.deckbox.org/system/images/mtg/cards/2083232.jpg,2025-05-30 07:17:42 UTC,36467,9b505c78-5dbd-483d-92bb-5144060e962f
4,Delver of Secrets // Insectile Aberration,Creature - Human Wizard // Creature - Human Insect,{U},Uncommon,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2117342.jpg,2025-05-30 07:17:29 UTC,248082,abff6c81-65a4-48fa-ba8f-580f87b0344a
4,Eroded Canyon,Land - Desert,"",Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2055221.jpg,2025-05-30 07:18:01 UTC,544233,5c9d080f-28d7-41d6-a4e0-5b3e3a5ed770
2,Escape Tunnel,Land,"",Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2052180.jpg,2025-06-04 12:29:01 UTC,533379,93ddde4f-d35e-4128-8f43-d0eadbd715de
4,Festival Crasher,Creature - Devil,{1}{R},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2117435.jpg,2025-05-30 07:17:30 UTC,247866,626b0477-6165-443a-8a75-dfeac26ac9f9
5,Island,Basic Land - Island,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301288.jpg,2025-06-04 12:30:03 UTC,662979,a2e22347-f0cb-4cfd-88a3-4f46a16e4946
4,Kiln Fiend,Creature - Elemental Beast,{1}{R},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2082386.jpg,2025-05-30 07:17:33 UTC,34847,0c584268-67c3-411b-a26c-aee3adf23872
4,Manamorphose,Instant,{1}{RG},Common,$4.46,main,https://s.deckbox.org/system/images/mtg/cards/2069845.jpg,2025-05-22 12:03:53 UTC,18700,50283122-b8c4-4fb3-8eba-6252b72222f4
6,Mountain,Basic Land - Mountain,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2301290.jpg,2025-06-04 12:30:05 UTC,662981,c44f81ca-f72f-445c-8901-3a894a2a47f9
4,Mutagenic Growth,Instant,{GP},Common,$1.72,main,https://s.deckbox.org/system/images/mtg/cards/2083546.jpg,2025-05-22 12:03:56 UTC,39449,af2d23da-70a1-49ba-91bf-c110cc4bbedc
4,Ponder,Sorcery,{U},Common,$1.56,main,https://s.deckbox.org/system/images/mtg/cards/2084059.jpg,2025-05-30 07:17:55 UTC,47694,81c908ee-e70a-4406-a32d-ab5ab17e67b1
3,Reckless Charge,Sorcery,{R},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2075523.jpg,2025-06-04 12:30:17 UTC,9490,0938e686-345e-4411-b564-cf9324ec6b9d
4,Slip Through Space,Sorcery,{U},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2092957.jpg,2025-05-30 07:17:58 UTC,111073,2dee6dca-9c7e-4347-bea7-7fecc69e5827
3,Dispel,Instant,{U},Common,$0.32,sideboard,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-06-04 12:33:09 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
3,Disrupt,Instant,{U},Common,$0.29,sideboard,https://s.deckbox.org/system/images/mtg/cards/2073877.jpg,2025-06-04 12:33:04 UTC,6013,c6cc89b0-9acf-452b-ac1a-bc7e90eb32fc
2,Flaring Pain,Instant,{1}{R},Common,$1.12,sideboard,https://s.deckbox.org/system/images/mtg/cards/2075825.jpg,2025-06-04 12:30:42 UTC,10249,eeb5c96a-1d16-459d-9968-ced9a8f1c520
4,Pyroblast,Instant,{R},Uncommon,$6.90,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070395.jpg,2025-06-04 12:31:25 UTC,2332,15d2d7cd-d29d-4f19-8490-88bd526ff1c5
3,Steel Sabotage,Instant,{U},Common,$0.19,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083348.jpg,2025-06-04 12:31:14 UTC,39060,bb40de7c-1905-4615-844b-4abc231fb01e

