Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Ancestral Anger,Sorcery,{R},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2023807.jpg,2026-02-05 11:31:58 UTC,253777,5dee47ab-d603-4346-97f4-a25dc3f47765
3,Apostle's Blessing,Instant,{1}{WP},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2083553.jpg,2026-02-05 11:32:01 UTC,39466,9f7c3571-925d-486e-80dd-bac47aa48283
1,Assault Strobe,Sorcery,{R},Common,$0.32,main,https://s.deckbox.org/system/images/mtg/cards/2083232.jpg,2026-02-05 11:32:35 UTC,36467,9b505c78-5dbd-483d-92bb-5144060e962f
4,Expedite,Instant,{R},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2093041.jpg,2026-01-23 16:56:05 UTC,110989,59c65eb7-4353-45ce-9c2e-1791c2804ccf
3,Faithless Looting,Sorcery,{R},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2084749.jpg,2026-01-23 16:57:58 UTC,57594,a1b0da17-d595-441d-811c-a2d28d2bb232
4,Festival Crasher,Creature - Devil,{1}{R},Common,$0.02,main,https://s.deckbox.org/system/images/mtg/cards/2117435.jpg,2026-02-05 11:31:54 UTC,247866,626b0477-6165-443a-8a75-dfeac26ac9f9
4,Kiln Fiend,Creature - Elemental Beast,{1}{R},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2082386.jpg,2025-05-12 06:50:58 UTC,34847,0c584268-67c3-411b-a26c-aee3adf23872
4,Manamorphose,Instant,{1}{RG},Common,$4.82,main,https://s.deckbox.org/system/images/mtg/cards/2069845.jpg,2025-05-12 06:56:15 UTC,18700,50283122-b8c4-4fb3-8eba-6252b72222f4
16,Mountain,Basic Land - Mountain,"",BasicLand,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2313157.jpg,2025-05-12 06:55:37 UTC,671046,295b92bc-d66f-45d8-9bbe-5f5f13e39fd4
4,Mutagenic Growth,Instant,{GP},Common,$1.25,main,https://s.deckbox.org/system/images/mtg/cards/2083546.jpg,2025-05-12 06:53:58 UTC,39449,af2d23da-70a1-49ba-91bf-c110cc4bbedc
1,Reckless Charge,Sorcery,{R},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2075523.jpg,2026-01-23 16:55:22 UTC,9490,0938e686-345e-4411-b564-cf9324ec6b9d
4,Rite of Flame,Sorcery,{R},Common,$5.46,main,https://s.deckbox.org/system/images/mtg/cards/2066895.jpg,2026-02-05 11:16:40 UTC,14103,c062caf7-f0eb-44db-9f74-e6711a13fada
4,Simian Spirit Guide,Creature - Ape Spirit,{2}{R},Common,$3.48,main,https://s.deckbox.org/system/images/mtg/cards/2060092.jpg,2025-11-08 13:10:49 UTC,563105,9d367aa4-e85f-402e-b781-527808edcc0a
4,Temur Battle Rage,Instant,{1}{R},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2090705.jpg,2025-05-12 06:56:00 UTC,95420,8a1dd786-f4e3-4951-b87b-82442edec016
1,Apostle's Blessing,Instant,{1}{WP},Common,$0.30,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083553.jpg,2026-02-05 11:57:41 UTC,39466,9f7c3571-925d-486e-80dd-bac47aa48283
4,Immolating Souleater,Artifact Creature - Phyrexian Dog,{2},Common,$0.18,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083531.jpg,2026-02-05 11:33:45 UTC,39531,abbaf916-067d-4834-a55c-b400fe0d8c1f
4,Lava Dart,Instant,{R},Common,$0.47,sideboard,https://s.deckbox.org/system/images/mtg/cards/2061013.jpg,2026-02-05 11:59:10 UTC,583381,aaf4dad6-2a00-419e-95d0-023c80ff973a
4,Raze the Effigy,Instant,{R},Common,$0.08,sideboard,https://s.deckbox.org/system/images/mtg/cards/2117451.jpg,2025-05-12 06:59:37 UTC,248286,e0dd378c-5050-48c9-9a16-6d91afa62d21
2,Renegade Tactics,Sorcery,{R},Common,$0.14,sideboard,https://s.deckbox.org/system/images/mtg/cards/2094482.jpg,2026-02-05 11:59:15 UTC,123157,6c06a39c-68bb-4e65-9a6d-9d9bc745201f

