Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
1,Blood Fountain,Artifact,{B},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2023750.jpg,2025-12-12 08:35:02 UTC,253719,dd03651e-ada0-41dc-8722-0eba476943e3
1,Bojuka Bog,Land,"",Common,$0.76,main,https://s.deckbox.org/system/images/mtg/cards/2299327.jpg,2025-12-12 08:34:52 UTC,642036,b0c6fb5e-07e2-4d22-be19-60592f00584a
4,Cast Down,Instant,{1}{B},Uncommon,$0.29,main,https://s.deckbox.org/system/images/mtg/cards/2099205.jpg,2025-05-16 13:38:35 UTC,162900,116ce944-6871-4f51-a889-d9c4a5d7cff2
4,Cleansing Wildfire,Sorcery,{1}{R},Common,$0.44,main,https://s.deckbox.org/system/images/mtg/cards/2111372.jpg,2025-05-16 13:39:24 UTC,221913,492d77e5-acc6-41b8-8930-f39d69234919
4,Drossforge Bridge,Artifact Land,"",Common,$0.80,main,https://s.deckbox.org/system/images/mtg/cards/2115673.jpg,2025-05-16 13:40:01 UTC,239716,5b46b8d8-723a-4752-b97d-29ef83bd294c
2,Eviscerator's Insight,Instant,{1}{B},Common,$0.24,main,https://s.deckbox.org/system/images/mtg/cards/2056492.jpg,2025-05-16 13:38:40 UTC,552853,b00573bd-5bbb-4531-a0bb-a40f62b92b88
4,Fanatical Offering,Instant,{1}{B},Common,$0.86,main,https://s.deckbox.org/system/images/mtg/cards/2048467.jpg,2025-05-16 13:38:38 UTC,526191,d896dd52-b134-4b55-ab91-ccb05ecc50f4
2,Forest,Basic Land - Forest,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301291.jpg,2025-05-16 13:41:34 UTC,662982,a305e44f-4253-4754-b83f-1e34103d77b0
2,Gixian Infiltrator,Creature - Phyrexian Human,{1}{B},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2033440.jpg,2025-12-12 08:39:59 UTC,453104,c94a3317-7d1f-4f29-8353-180f1ab48d18
4,Ichor Wellspring,Artifact,{2},Common,$0.74,main,https://s.deckbox.org/system/images/mtg/cards/2083374.jpg,2025-05-16 13:37:42 UTC,39104,2d1ea522-a0f6-45a8-8985-6fcca95d60cc
2,Krark-Clan Shaman,Creature - Goblin Shaman,{R},Common,$5.02,main,https://s.deckbox.org/system/images/mtg/cards/2077766.jpg,2025-05-16 13:36:40 UTC,11418,975f9ea8-af2c-456f-acd0-ffa9ea0d98c1
2,Lembas,Artifact - Food,{2},Common,$1.66,main,https://s.deckbox.org/system/images/mtg/cards/2042895.jpg,2025-05-16 13:37:46 UTC,499443,3b46aacf-b31a-4380-9e4b-82795fbaba3b
1,Makeshift Munitions,Enchantment,{1}{R},Uncommon,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2097739.jpg,2025-05-16 13:39:32 UTC,145604,65689442-e679-4844-91a8-f6a39a7c1f9b
