Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
2,Bojuka Bog,Land,"",Common,$0.76,main,https://s.deckbox.org/system/images/mtg/cards/2299327.jpg,2025-10-11 15:18:07 UTC,642036,b0c6fb5e-07e2-4d22-be19-60592f00584a
4,Chromatic Star,Artifact,{1},Uncommon,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2068724.jpg,2025-10-11 15:01:14 UTC,15071,3233db3e-ec30-4be5-867d-81855652a8b0
1,Dark-Dweller Oracle,Creature - Goblin Shaman,{1}{R},Rare,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2101029.jpg,2025-10-11 15:12:47 UTC,168753,69a57bfc-1de2-4b3a-84bc-19ec41087f0d
4,Drossforge Bridge,Artifact Land,"",Common,$0.80,main,https://s.deckbox.org/system/images/mtg/cards/2115673.jpg,2025-10-11 15:15:37 UTC,239716,5b46b8d8-723a-4752-b97d-29ef83bd294c
3,Duress,Sorcery,{B},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2062721.jpg,2025-10-11 15:01:41 UTC,589335,34c3a894-ee75-4db9-a69f-711bb3cc150a
4,Eviscerator's Insight,Instant,{1}{B},Common,$0.24,main,https://s.deckbox.org/system/images/mtg/cards/2056492.jpg,2025-10-11 15:18:47 UTC,552853,b00573bd-5bbb-4531-a0bb-a40f62b92b88
4,First Day of Class,Instant,{1}{R},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2114300.jpg,2025-10-09 11:49:52 UTC,235196,091eb13d-9318-4b12-9f94-6276b11981d1
4,Goblin Matron,Creature - Goblin,{2}{R},Uncommon,$0.50,main,https://s.deckbox.org/system/images/mtg/cards/2070040.jpg,2025-10-09 11:49:14 UTC,2930,862409e1-33e0-474c-8627-b03d25b654b9
2,Great Furnace,Artifact Land,"",Common,$2.09,main,https://s.deckbox.org/system/images/mtg/cards/2299339.jpg,2025-10-11 15:18:04 UTC,642853,74c5bb44-d72c-4c1a-a38f-86b4a8f49ae1
4,Ichor Wellspring,Artifact,{2},Common,$0.74,main,https://s.deckbox.org/system/images/mtg/cards/2083374.jpg,2025-10-11 15:19:02 UTC,39104,2d1ea522-a0f6-45a8-8985-6fcca95d60cc
1,Makeshift Munitions,Enchantment,{1}{R},Uncommon,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2097739.jpg,2025-10-11 15:19:15 UTC,145604,65689442-e679-4844-91a8-f6a39a7c1f9b
5,Mountain,Basic Land - Mountain,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2301290.jpg,2025-10-11 15:17:51 UTC,662981,c44f81ca-f72f-445c-8901-3a894a2a47f9
4,Putrid Goblin,Creature - Zombie Goblin,{1}{B},Common,$0.29,main,https://s.deckbox.org/system/images/mtg/cards/2061628.jpg,2025-10-09 11:49:45 UTC,582825,b6c567e4-3aaa-4ac0-bdd8-ae79ea867859
2,Rakdos Carnarium,Land,"",Common,$0.41,main,https://s.deckbox.org/system/images/mtg/cards/2052975.jpg,2025-10-11 15:17:49 UTC,534741,b2eaa0f2-9f8e-4b41-8916-9c9a985c39de
4,Skirk Prospector,Creature - Goblin,{R},Common,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2099329.jpg,2025-10-09 11:49:25 UTC,164400,1636d138-aa63-476f-a930-41b1be988032
4,Stormshriek Feral // Flush Out,Creature - Dragon // Sorcery - Omen,{4}{R} // {1}{R},Common,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2290564.jpg,2025-10-11 15:00:51 UTC,624736,0ec92c44-7cf0-48a5-a3ca-bc633496d887
4,Swamp,Basic Land - Swamp,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2301289.jpg,2025-10-11 15:18:35 UTC,662980,f0b234d8-d6bb-48ec-8a4d-d8a570a69c62
4,Unearth,Sorcery,{B},Common,$0.57,main,https://s.deckbox.org/system/images/mtg/cards/2060882.jpg,2025-10-11 15:01:38 UTC,582970,a5a1ec89-c231-409b-91e1-158ce6abf558
2,Abrade,Instant,{1}{R},Uncommon,$0.22,sideboard,https://s.deckbox.org/system/images/mtg/cards/2062303.jpg,2025-10-11 15:19:36 UTC,591656,548947dc-a5ca-43b5-9531-bcef20fa4ae5
2,Breath Weapon,Instant,{2}{R},Common,$1.67,sideboard,https://s.deckbox.org/system/images/mtg/cards/2028294.jpg,2025-10-11 15:19:39 UTC,273294,0174e40a-0ef5-4439-91e6-3fc39f482520
1,Duress,Sorcery,{B},Common,$0.15,sideboard,https://s.deckbox.org/system/images/mtg/cards/2062721.jpg,2025-10-11 15:24:50 UTC,589335,34c3a894-ee75-4db9-a69f-711bb3cc150a
2,Introduction to Prophecy,Sorcery - Lesson,{3},Common,$0.12,sideboard,https://s.deckbox.org/system/images/mtg/cards/2114202.jpg,2025-10-11 15:25:51 UTC,235205,7820923e-bad2-4d6a-92b3-97b9737d2ca9
2,Krark-Clan Shaman,Creature - Goblin Shaman,{R},Common,$5.02,sideboard,https://s.deckbox.org/system/images/mtg/cards/2077766.jpg,2025-10-11 15:26:22 UTC,11418,975f9ea8-af2c-456f-acd0-ffa9ea0d98c1
2,Mesmeric Fiend,Creature - Nightmare Horror,{1}{B},Common,$0.95,sideboard,https://s.deckbox.org/system/images/mtg/cards/2060866.jpg,2025-10-11 15:25:45 UTC,582741,c2debda1-542e-4f28-b984-da79de35eab3
2,Nihil Spellbomb,Artifact,{1},Common,$1.23,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083062.jpg,2025-10-11 15:26:25 UTC,36518,603d217b-6375-46fc-992a-8dbd779da1e5
2,Pyroblast,Instant,{R},Uncommon,$6.90,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070395.jpg,2025-10-11 15:25:41 UTC,2332,15d2d7cd-d29d-4f19-8490-88bd526ff1c5

