Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
2,Accursed Marauder,Creature - Zombie Warrior,{1}{B},Common,$0.39,main,https://s.deckbox.org/system/images/mtg/cards/2056479.jpg,2026-02-04 08:49:10 UTC,553204,5da14d86-0780-4821-a799-96f64b377df4
1,Blood Fountain,Artifact,{B},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2023750.jpg,2026-02-04 08:57:49 UTC,253719,dd03651e-ada0-41dc-8722-0eba476943e3
2,Carrion Feeder,Creature - Zombie,{B},Uncommon,$2.64,main,https://s.deckbox.org/system/images/mtg/cards/2104365.jpg,2026-02-04 08:49:18 UTC,191578,0a19da90-880e-4eca-8cf7-6d7baf090d53
4,Changeling Outcast,Creature - Shapeshifter,{B},Common,$1.07,main,https://s.deckbox.org/system/images/mtg/cards/2055673.jpg,2025-05-16 15:21:54 UTC,545343,ab499df5-ed76-43ad-81b3-70afd0487ccd
3,Corrupted Conviction,Instant,{B},Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2055049.jpg,2026-02-04 08:57:37 UTC,544718,8046f892-3317-4ef7-9cf7-97b9060540c8
1,Crawl from the Cellar,Sorcery,{B},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2117388.jpg,2026-02-04 09:02:02 UTC,248313,ed6c8942-d43e-4456-ac98-3220cb954c65
1,Eviscerator's Insight,Instant,{1}{B},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2056492.jpg,2026-02-04 09:01:45 UTC,552853,b00573bd-5bbb-4531-a0bb-a40f62b92b88
1,Gempalm Polluter,Creature - Zombie,{5}{B},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2076902.jpg,2026-02-04 08:51:19 UTC,10755,8e9943ac-9e3f-4ee0-b5fd-3b0fb17097d8
1,Ghoulcaller's Chant,Sorcery,{B},Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2084403.jpg,2026-02-04 09:01:49 UTC,56272,2b8c1b10-2155-404a-8f20-eb8f643849d6
4,Putrid Goblin,Creature - Zombie Goblin,{1}{B},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2061628.jpg,2026-02-04 08:55:21 UTC,582825,b6c567e4-3aaa-4ac0-bdd8-ae79ea867859
