Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Arbor Elf,Creature - Elf Druid,{G},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2085496.jpg,2025-11-05 15:44:30 UTC,60009,b7d6b117-0c14-4455-92fc-29555ee75d97
4,Aspect of Hydra,Instant,{G},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2087695.jpg,2025-11-05 15:44:12 UTC,79095,19353629-07be-47e2-a7d5-3a5e5e1120c8
16,Forest,Basic Land - Forest,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301291.jpg,2025-11-05 15:46:06 UTC,662982,a305e44f-4253-4754-b83f-1e34103d77b0
4,Gallant Citizen,Creature - Human Citizen,{GW}{GW},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2300024.jpg,2025-11-05 15:45:53 UTC,651938,43790471-6ec8-4c1d-b6d3-74c6cdf8ce43
4,Garruk's Companion,Creature - Beast,{G}{G},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2084064.jpg,2025-11-05 15:45:12 UTC,47257,b8d8806c-43c5-4c6c-9420-6210a17ec2b0
4,Jewel Thief,Creature - Cat Rogue,{2}{G},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2026598.jpg,2025-11-05 15:44:42 UTC,268829,736e498e-1245-40c1-96a4-c9bcfd1cfe1f
4,Nylea's Huntmaster,Creature - Centaur Shaman,{3}{G},Common,$0.04,main,https://s.deckbox.org/system/images/mtg/cards/2108082.jpg,2025-11-05 15:45:56 UTC,207117,2a4fe89a-0d2b-493f-883e-a1e0b0918340
4,Nyxborn Hydra,Enchantment Creature - Hydra,{X}{G},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2056563.jpg,2025-11-05 15:44:32 UTC,552872,902a969e-9f22-4e92-93eb-9d4536ca82e5
4,Pond Prophet,Creature - Frog Advisor,{GU}{GU},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2058233.jpg,2025-11-05 15:45:20 UTC,558431,fb959e74-61ea-453d-bb9f-ad0183c0e1b1
2,Ram Through,Instant,{1}{G},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2108946.jpg,2025-11-05 15:44:16 UTC,212717,ac0b24e7-14e7-45ee-b5d8-bdb8674b669c
4,Utopia Sprawl,Enchantment - Aura,{G},Common,$0.79,main,https://s.deckbox.org/system/images/mtg/cards/2061036.jpg,2025-11-05 15:44:25 UTC,583311,44d14297-f84b-40bd-bd0a-b67d13787ca0
4,Wild Growth,Enchantment - Aura,{G},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2066731.jpg,2025-11-05 15:44:28 UTC,3148,515daaba-c063-41d5-9539-25b8c8cb639c
2,Winding Way,Sorcery,{1}{G},Common,$0.39,main,https://s.deckbox.org/system/images/mtg/cards/2061637.jpg,2025-11-05 15:44:23 UTC,583330,0c1c6256-6302-4627-bfbb-bffdc124fab4
4,Nylea's Disciple,Creature - Centaur Archer,{2}{G}{G},Common,$0.10,sideboard,https://s.deckbox.org/system/images/mtg/cards/2087307.jpg,2025-11-05 15:46:44 UTC,71382,365d716a-1435-48ac-b85f-2cceca1056dd
2,Ram Through,Instant,{1}{G},Common,$0.30,sideboard,https://s.deckbox.org/system/images/mtg/cards/2108946.jpg,2025-11-05 15:46:50 UTC,212717,ac0b24e7-14e7-45ee-b5d8-bdb8674b669c
1,Shinen of Life's Roar,Creature - Spirit,{1}{G},Common,$0.16,sideboard,https://s.deckbox.org/system/images/mtg/cards/2079158.jpg,2025-11-05 15:47:38 UTC,12537,a77d9516-7275-40df-8989-418933671263
4,Tamiyo's Safekeeping,Instant,{G},Common,$2.81,sideboard,https://s.deckbox.org/system/images/mtg/cards/2025704.jpg,2025-11-05 15:47:16 UTC,262765,fd4b7ee2-de65-4288-872d-486065a4f226
2,Tormod's Crypt,Artifact,{0},Uncommon,$0.36,sideboard,https://s.deckbox.org/system/images/mtg/cards/2109839.jpg,2025-11-05 15:47:28 UTC,215346,9c224bf0-5641-4160-9d5c-46141ea8372a
2,Weather the Storm,Instant,{1}{G},Common,$0.82,sideboard,https://s.deckbox.org/system/images/mtg/cards/2104595.jpg,2025-11-05 15:46:41 UTC,191064,f6a9fa51-78c3-42e6-8c2e-39658f59ed87

