Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Faithless Looting,Sorcery,{R},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2084749.jpg,2025-11-19 16:14:59 UTC,57594,a1b0da17-d595-441d-811c-a2d28d2bb232
4,Fiery Temper,Instant,{1}{R}{R},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2093443.jpg,2025-11-19 16:14:05 UTC,115275,61caf82d-e077-4931-a6ad-09fa7f04b36f
3,Fireblast,Instant,{4}{R}{R},Common,$0.50,main,https://s.deckbox.org/system/images/mtg/cards/2060928.jpg,2025-11-19 16:14:31 UTC,583235,ff45073c-5ac1-4295-833e-58b253319c9b
4,Grab the Prize,Sorcery,{1}{R},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2059355.jpg,2025-11-19 16:14:45 UTC,576881,50895202-f1a1-4840-a11a-55b78b8b5929
3,Guttersnipe,Creature - Goblin Shaman,{2}{R},Uncommon,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2062831.jpg,2025-11-19 16:13:21 UTC,591657,dde674d6-f4e7-410b-acf0-34021290576d
4,Highway Robbery,Sorcery,{1}{R},Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2055094.jpg,2025-11-19 16:14:47 UTC,544664,31a88429-9204-4a23-a7a8-babbd6bab79f
4,Kessig Flamebreather,Creature - Human Shaman,{1}{R},Common,$2.72,main,https://s.deckbox.org/system/images/mtg/cards/2023832.jpg,2025-11-19 16:13:28 UTC,253555,303ad78a-b02a-44dc-afe6-7f95781a5062
4,Lava Dart,Instant,{R},Common,$0.47,main,https://s.deckbox.org/system/images/mtg/cards/2061013.jpg,2025-11-19 16:14:14 UTC,583381,aaf4dad6-2a00-419e-95d0-023c80ff973a
4,Lightning Bolt,Instant,{R},Uncommon,$0.63,main,https://s.deckbox.org/system/images/mtg/cards/2296316.jpg,2025-11-19 16:14:07 UTC,632180,e89794ab-6070-4916-936f-2b42fe41d31b
4,Sneaky Snacker,Creature - Faerie Rogue,{U}{B},Common,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2056604.jpg,2025-11-19 16:13:35 UTC,553311,0e3aedae-e4bb-48e3-9f8b-bea0430df306
18,Snow-Covered Mountain,Basic Snow Land - Mountain,"",Common,$0.44,main,https://s.deckbox.org/system/images/mtg/cards/2113364.jpg,2026-02-05 17:02:34 UTC,230103,f54aa46b-4b7c-4846-bf19-a289ed36c172
4,Voldaren Epicure,Creature - Vampire,{R},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2024001.jpg,2025-11-19 16:13:48 UTC,253792,feda6bb3-ee22-489c-bcfd-52ef04841024

