Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Counterspell,Instant,{U}{U},Uncommon,$0.96,main,https://s.deckbox.org/system/images/mtg/cards/2296280.jpg,2025-05-16 15:16:24 UTC,633126,e1e48b21-1a4f-4708-a4b4-e2e296df924c
4,Faerie Miscreant,Creature - Faerie Rogue,{U},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2104830.jpg,2025-05-16 13:52:14 UTC,192784,28aa0337-94bd-4274-b2ee-6f43747c77b3
4,Faerie Seer,Creature - Faerie Wizard,{U},Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2063038.jpg,2025-05-16 13:52:16 UTC,590537,f0b96dc7-d046-4b64-b3a8-8bf5ac7c8f9b
2,Force Spike,Instant,{U},Common,$0.71,main,https://s.deckbox.org/system/images/mtg/cards/2066528.jpg,2025-05-16 15:16:26 UTC,2907,1d03d73f-0530-4125-8689-1c43e502e331
3,Harrier Strix,Creature - Bird,{U},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2055017.jpg,2025-12-12 09:28:44 UTC,544705,70ca61a9-8938-41bf-bd14-5759f4de6521
4,Humbling Elder,Creature - Human Monk,{U},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2290488.jpg,2025-05-16 15:18:13 UTC,625120,3a84c3f8-0030-4653-880e-b2d19272f5fa
18,Island,Basic Land - Island,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301288.jpg,2025-05-16 15:17:34 UTC,662979,a2e22347-f0cb-4cfd-88a3-4f46a16e4946
4,Moon-Circuit Hacker,Enchantment Creature - Human Ninja,{1}{U},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2025830.jpg,2025-05-16 13:51:37 UTC,262194,75c43923-7280-4ccb-810b-e8c38dd8a26f
4,Ninja of the Deep Hours,Creature - Human Ninja,{3}{U},Common,$1.28,main,https://s.deckbox.org/system/images/mtg/cards/2092567.jpg,2025-05-16 13:52:32 UTC,108000,26184ff2-3b8c-419a-9b28-95d6e4e996bb
4,Of One Mind,Sorcery,{2}{U},Common,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2108836.jpg,2025-05-16 15:16:57 UTC,212617,c95fb136-f21d-4f3a-82b7-bcf490b7e90c
3,Snap,Instant,{1}{U},Common,$2.28,main,https://s.deckbox.org/system/images/mtg/cards/2036761.jpg,2025-05-16 15:16:22 UTC,458224,f13406c6-f208-402a-94d3-a94a24f03563
2,Spell Pierce,Instant,{U},Uncommon,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2099744.jpg,2025-05-16 15:16:27 UTC,616070,8dd4374f-0301-4b2e-bc99-2cd19568cb3b
4,Spellstutter Sprite,Creature - Faerie Wizard,{1}{U},Common,$3.24,main,https://s.deckbox.org/system/images/mtg/cards/2068896.jpg,2025-05-16 13:51:27 UTC,15633,4e5ba4a9-a282-4d4b-b25a-179e05e458f4
4,Annul,Instant,{U},Uncommon,$0.17,sideboard,https://s.deckbox.org/system/images/mtg/cards/2298814.jpg,2025-05-16 15:18:34 UTC,642435,4feeebea-aa55-4599-ab5a-4e41a54d0dfd
3,Dispel,Instant,{U},Common,$0.32,sideboard,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-05-16 15:18:35 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
2,Hermetic Study,Enchantment - Aura,{1}{U},Common,$0.14,sideboard,https://s.deckbox.org/system/images/mtg/cards/2080565.jpg,2025-05-16 15:19:41 UTC,6907,8321888a-a450-4c15-9461-255cfaa05367
3,Relic of Progenitus,Artifact,{1},Common,$4.89,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070899.jpg,2025-05-16 15:19:12 UTC,27769,90c41192-64ef-43aa-9af0-75f0d3f56688
2,Unable to Scream,Enchantment - Aura,{U},Common,$0.21,sideboard,https://s.deckbox.org/system/images/mtg/cards/2059295.jpg,2025-05-16 15:18:51 UTC,577663,7c59e0cd-10a8-4a32-9c0a-a2c6ef1ed9a6
1,Viridian Longbow,Artifact - Equipment,{1},Common,$0.58,sideboard,https://s.deckbox.org/system/images/mtg/cards/2077780.jpg,2025-05-16 15:19:26 UTC,11578,be892d73-d1f4-4c36-b674-01ae21ff1484

