Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Brainstorm,Instant,{U},Uncommon,$0.67,main,https://s.deckbox.org/system/images/mtg/cards/2296304.jpg,2025-05-12 06:09:37 UTC,631813,c14f8bce-d5b3-4d01-8346-8a4923ec03d9
4,Counterspell,Instant,{U}{U},Uncommon,$0.96,main,https://s.deckbox.org/system/images/mtg/cards/2296280.jpg,2025-05-12 06:10:22 UTC,633126,e1e48b21-1a4f-4708-a4b4-e2e296df924c
4,Cryptic Serpent,Creature - Serpent,{5}{U}{U},Uncommon,$0.51,main,https://s.deckbox.org/system/images/mtg/cards/2096170.jpg,2025-05-12 06:07:58 UTC,130043,43d11a24-8abf-46ff-8cc6-57b8ac3013f6
2,Deem Inferior,Sorcery,{3}{U},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2056456.jpg,2025-10-24 10:06:46 UTC,553172,cc0835c7-58ca-4f16-984a-c590ce6a229a
2,Deep Analysis,Sorcery,{3}{U},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2291038.jpg,2025-05-12 06:11:41 UTC,624163,2d93b071-d303-4892-bac4-77a75eaa91a1
4,Delver of Secrets // Insectile Aberration,Creature - Human Wizard // Creature - Human Insect,{U},Uncommon,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2117342.jpg,2020-07-08 15:54:47 UTC,248082,abff6c81-65a4-48fa-ba8f-580f87b0344a
2,Dispel,Instant,{U},Common,$0.32,main,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-05-12 06:09:47 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
16,Island,Basic Land - Island,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301288.jpg,2025-05-12 06:07:32 UTC,662979,a2e22347-f0cb-4cfd-88a3-4f46a16e4946
4,Lórien Revealed,Sorcery,{3}{U}{U},Common,$3.03,main,https://s.deckbox.org/system/images/mtg/cards/2042712.jpg,2025-05-12 06:11:34 UTC,499960,0ce44270-a684-4489-9077-521456e6dfaa
4,Mental Note,Instant,{U},Common,$9.24,main,https://s.deckbox.org/system/images/mtg/cards/2076092.jpg,2025-05-12 06:10:08 UTC,10206,1f343724-6ecd-494f-8bfc-93676af4e173
2,Ponder,Sorcery,{U},Common,$1.56,main,https://s.deckbox.org/system/images/mtg/cards/2084059.jpg,2025-10-24 10:06:43 UTC,47694,81c908ee-e70a-4406-a32d-ab5ab17e67b1
2,Sleep of the Dead,Sorcery,{U},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2108178.jpg,2025-10-24 10:06:40 UTC,207173,4007572b-a6c8-4a56-b1a7-ff099189c9c0
2,Spell Pierce,Instant,{U},Uncommon,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2099744.jpg,2025-10-24 10:06:15 UTC,616070,8dd4374f-0301-4b2e-bc99-2cd19568cb3b
4,Thought Scour,Instant,{U},Common,$0.37,main,https://s.deckbox.org/system/images/mtg/cards/2084803.jpg,2025-05-12 06:10:49 UTC,57678,88bf1ebb-9d85-4b9b-a614-c7f965c0893d
4,Tolarian Terror,Creature - Serpent,{6}{U},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2062282.jpg,2025-05-12 06:08:00 UTC,591307,2569d4f3-55ed-4f99-9592-34c7df0aab72
4,Annul,Instant,{U},Uncommon,$0.17,sideboard,https://s.deckbox.org/system/images/mtg/cards/2298814.jpg,2025-10-24 10:07:36 UTC,642435,4feeebea-aa55-4599-ab5a-4e41a54d0dfd
3,Blue Elemental Blast,Instant,{U},Common,$0.60,sideboard,https://s.deckbox.org/system/images/mtg/cards/2073671.jpg,2025-10-24 10:08:07 UTC,1349,0892ec35-8bab-4fe5-8cc9-a25032d4bc8d
1,Envelop,Instant,{U},Common,$1.31,sideboard,https://s.deckbox.org/system/images/mtg/cards/2076123.jpg,2025-10-24 10:07:45 UTC,10199,e7ed250e-12d0-4ebc-9410-5711e71c6d1f
3,Gut Shot,Instant,{RP},Uncommon,$4.30,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083513.jpg,2020-07-08 16:08:57 UTC,39528,a54a2a30-b96a-49c7-9151-1f4b0d4a4413
4,Hydroblast,Instant,{U},Uncommon,$3.63,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070380.jpg,2025-10-24 10:07:58 UTC,2204,89a30b8f-6594-42ea-8e60-13ccb1e7efc0

