Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
2,Ancient Den,Artifact Land,"",Common,$0.75,main,https://s.deckbox.org/system/images/mtg/cards/2299326.jpg,2026-02-19 09:24:37 UTC,642847,d9a7b0f6-97f9-4937-865c-e25c142c3ed7
1,Blood Fountain,Artifact,{B},Common,$0.36,main,https://s.deckbox.org/system/images/mtg/cards/2023750.jpg,2026-02-19 15:14:47 UTC,253719,dd03651e-ada0-41dc-8722-0eba476943e3
1,Bojuka Bog,Land,"",Common,$0.92,main,https://s.deckbox.org/system/images/mtg/cards/2299327.jpg,2026-02-19 15:17:31 UTC,642036,b0c6fb5e-07e2-4d22-be19-60592f00584a
4,Cast Down,Instant,{1}{B},Uncommon,$0.32,main,https://s.deckbox.org/system/images/mtg/cards/2099205.jpg,2026-02-20 07:29:35 UTC,162900,116ce944-6871-4f51-a889-d9c4a5d7cff2
1,Deceptive Landscape,Land,"",Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2291244.jpg,2026-02-20 07:43:46 UTC,624598,ba863744-929b-43f3-a773-342ba3437b18
1,Eviscerator's Insight,Instant,{1}{B},Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2056492.jpg,2026-02-19 15:18:37 UTC,552853,b00573bd-5bbb-4531-a0bb-a40f62b92b88
3,Fanatical Offering,Instant,{1}{B},Common,$1.08,main,https://s.deckbox.org/system/images/mtg/cards/2048467.jpg,2026-02-19 15:18:31 UTC,526191,d896dd52-b134-4b55-ab91-ccb05ecc50f4
4,Glint Hawk,Creature - Bird,{W},Common,$0.61,main,https://s.deckbox.org/system/images/mtg/cards/2083108.jpg,2026-02-19 09:14:36 UTC,36362,284c4710-4183-4743-9c8b-515cc98cbbb8
4,Goldmire Bridge,Artifact Land,"",Common,$0.60,main,https://s.deckbox.org/system/images/mtg/cards/2033925.jpg,2026-02-19 15:16:23 UTC,452139,3f529a4f-e2c6-48dc-9001-ed0009b58152
2,Grim Bauble,Artifact,{B},Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2099768.jpg,2026-02-19 15:14:43 UTC,616080,9bfdf60a-6f67-4872-8961-d63776b192c3
4,Kor Skyfisher,Creature - Kor Soldier,{1}{W},Common,$0.57,main,https://s.deckbox.org/system/images/mtg/cards/2081815.jpg,2026-02-19 09:14:49 UTC,33349,bb2e9465-f5ba-4c7b-9f03-d40dc8394acd
3,Lembas,Artifact - Food,{2},Common,$1.20,main,https://s.deckbox.org/system/images/mtg/cards/2042895.jpg,2026-02-19 09:48:58 UTC,499443,3b46aacf-b31a-4380-9e4b-82795fbaba3b
1,Okiba-Gang Shinobi,Creature - Rat Ninja,{3}{B}{B},Common,$1.33,main,https://s.deckbox.org/system/images/mtg/cards/2079427.jpg,2026-02-19 09:54:52 UTC,12319,5cd9297e-301e-4e70-af9b-3218eacacf8d
1,Omen of the Dead,Enchantment,{B},Common,$0.10,main,https://s.deckbox.org/system/images/mtg/cards/2108255.jpg,2026-02-19 09:45:41 UTC,207057,8023fc44-fb8e-420d-a68c-b45912c4e5bd
2,Orzhov Basilica,Land,"",Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2080921.jpg,2026-02-19 09:25:37 UTC,13740,f9154d2a-3fc5-4fd6-9885-a810cb6b542a
4,Plains,Basic Land - Plains,"",BasicLand,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2313154.jpg,2026-02-19 15:17:13 UTC,671036,3a438199-54f8-4702-81cf-a9d42e7cd9f1
2,Radiant Fountain,Land,,Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2109846.jpg,2026-02-19 10:05:53 UTC,215512,0296c34b-120b-483e-8b49-6d432c04f9a4
4,Refurbished Familiar,Artifact Creature - Zombie Rat,{3}{B},Common,$0.28,main,https://s.deckbox.org/system/images/mtg/cards/2056504.jpg,2026-02-19 09:49:50 UTC,553237,b338e078-629c-4cac-bd1d-e1f0a132728d
1,Suffocating Fumes,Instant,{2}{B},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2108876.jpg,2026-02-19 15:18:59 UTC,212763,66b562e4-35df-4aee-848d-ceb4204bbe58
3,Swamp,Basic Land - Swamp,"",BasicLand,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2313156.jpg,2026-02-19 15:20:17 UTC,671040,1dd4d605-02a2-4183-b191-0bca8dfbf962
1,Thorn of the Black Rose,Creature - Human Assassin,{3}{B},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2107076.jpg,2026-02-20 07:29:53 UTC,204408,560fbefe-d534-4e07-9f2c-fd12eecaa929
2,Thraben Charm,Instant,{1}{W},Common,$0.28,main,https://s.deckbox.org/system/images/mtg/cards/2056444.jpg,2026-02-19 15:18:22 UTC,552284,dd28a646-f38f-4cdf-948c-969cd979e5e6
4,Thraben Inspector,Creature - Human Soldier,{W},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2093330.jpg,2026-02-19 09:49:43 UTC,114876,d140c3b7-ca78-483d-baeb-307b624fea8b
3,Tithing Blade // Consuming Sepulcher,Artifact // Artifact,{1}{B},Common,$0.31,main,https://s.deckbox.org/system/images/mtg/cards/2048492.jpg,2026-02-19 09:49:05 UTC,526379,dbaa9a2d-e9fd-4746-a26c-f99ae731f024
2,Vault of Whispers,Artifact Land,"",Common,$2.39,main,https://s.deckbox.org/system/images/mtg/cards/2077817.jpg,2026-02-19 09:24:44 UTC,11311,73866487-33f4-4f64-b100-2c4ddadcd74e
3,Duress,Sorcery,{B},Common,$0.14,sideboard,https://s.deckbox.org/system/images/mtg/cards/2062721.jpg,2026-02-20 10:28:43 UTC,589335,34c3a894-ee75-4db9-a69f-711bb3cc150a
4,Dust to Dust,Sorcery,{1}{W}{W},Uncommon,$6.40,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070321.jpg,2026-02-20 10:28:58 UTC,2119,6e8a9a5c-0e5f-4498-88d8-6aac465923b1
3,Navigator's Compass,Artifact,{1},Common,$0.06,sideboard,https://s.deckbox.org/system/images/mtg/cards/2099220.jpg,2026-02-20 10:28:33 UTC,162127,6a283135-7a51-4cf7-82a6-7e50894e64a5
2,Relic of Progenitus,Artifact,{1},Common,$4.83,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070899.jpg,2026-02-20 10:28:52 UTC,27769,90c41192-64ef-43aa-9af0-75f0d3f56688
