Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Apostle's Blessing,Instant,{1}{WP},Common,$0.33,main,https://s.deckbox.org/system/images/mtg/cards/2083553.jpg,2025-05-20 08:49:58 UTC,39466,9f7c3571-925d-486e-80dd-bac47aa48283
3,Blight Mamba,Creature - Phyrexian Snake,{1}{G},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2083010.jpg,2025-05-20 08:50:04 UTC,36396,cf9b3335-565c-406d-bd94-f36974602552
4,Blighted Agent,Creature - Phyrexian Human Rogue,{1}{U},Common,$1.22,main,https://s.deckbox.org/system/images/mtg/cards/2083500.jpg,2025-05-20 08:48:27 UTC,39492,cddaebde-a060-4510-8c97-68432d931987
4,Bountiful Landscape,Land,"",Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2291230.jpg,2025-05-20 08:52:25 UTC,624971,f1c99617-6e38-4af7-a064-6db9a5e2cc6a
4,Embiggen,Instant,{G},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2031889.jpg,2025-05-20 08:49:56 UTC,287983,1b759c27-9fb6-4c23-adc1-f6d3f3a0eb52
3,Experimental Augury,Instant,{1}{U},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2037201.jpg,2025-06-05 16:36:33 UTC,478436,e508ae5d-ffb5-4480-be90-a4394954b559
4,Forest,Basic Land - Forest,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301291.jpg,2025-05-20 08:52:41 UTC,662982,a305e44f-4253-4754-b83f-1e34103d77b0
4,Glistener Elf,Creature - Phyrexian Elf Warrior,{G},Common,$0.48,main,https://s.deckbox.org/system/images/mtg/cards/2083496.jpg,2025-05-20 08:47:38 UTC,39523,8b94f4c6-b518-43b3-be52-e889d1f3ea38
4,Ichorclaw Myr,Artifact Creature - Phyrexian Myr,{2},Common,$0.79,main,https://s.deckbox.org/system/images/mtg/cards/2083130.jpg,2025-05-20 09:13:53 UTC,36353,faef8b8b-2c45-4fed-b6ba-a8ac49c66330
2,Island,Basic Land - Island,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301288.jpg,2025-05-20 08:52:43 UTC,662979,a2e22347-f0cb-4cfd-88a3-4f46a16e4946
4,Might of Old Krosa,Instant,{G},Uncommon,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2066419.jpg,2025-05-20 08:49:21 UTC,14292,7b7b2c47-2123-45c1-993c-e7a2c9438855
4,Mutagenic Growth,Instant,{GP},Common,$1.72,main,https://s.deckbox.org/system/images/mtg/cards/2083546.jpg,2025-05-20 08:49:20 UTC,39449,af2d23da-70a1-49ba-91bf-c110cc4bbedc
4,Relic's Roar,Instant,{U},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2048431.jpg,2025-05-20 08:49:19 UTC,526292,35096eb3-ad7b-4b6e-b799-cb4cc447883e
2,Seat of the Synod,Artifact Land,"",Common,$0.99,main,https://s.deckbox.org/system/images/mtg/cards/2077816.jpg,2025-05-20 08:53:01 UTC,11310,5da5587d-6b6c-4645-8cc9-2866d1e6911b
3,Shadow Rift,Instant,{U},Common,$1.37,main,https://s.deckbox.org/system/images/mtg/cards/2078043.jpg,2025-05-20 08:49:25 UTC,5722,57c11175-9feb-4801-9b46-d577d5ecef40
3,Slip Through Space,Sorcery,{U},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2092957.jpg,2025-06-05 16:36:11 UTC,111073,2dee6dca-9c7e-4347-bea7-7fecc69e5827
4,Tree of Tales,Artifact Land,"",Common,$0.78,main,https://s.deckbox.org/system/images/mtg/cards/2077819.jpg,2025-05-20 08:53:04 UTC,11309,94db07aa-43d3-41b5-924e-60f1756b9c69
2,Dispel,Instant,{U},Common,$0.32,sideboard,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-05-20 08:52:04 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
4,Nature's Claim,Instant,{G},Uncommon,$0.29,sideboard,https://s.deckbox.org/system/images/mtg/cards/2296323.jpg,2025-05-20 08:52:00 UTC,632060,d349901d-f9a6-4f09-a881-531c695cf1c4
3,Spell Pierce,Instant,{U},Uncommon,$0.20,sideboard,https://s.deckbox.org/system/images/mtg/cards/2099744.jpg,2025-06-05 16:37:31 UTC,616070,8dd4374f-0301-4b2e-bc99-2cd19568cb3b
2,Tormod's Crypt,Artifact,{0},Uncommon,$0.36,sideboard,https://s.deckbox.org/system/images/mtg/cards/2109839.jpg,2025-05-20 08:52:06 UTC,215346,9c224bf0-5641-4160-9d5c-46141ea8372a
4,Virulent Sliver,Creature - Sliver,{G},Common,$0.50,sideboard,https://s.deckbox.org/system/images/mtg/cards/2068290.jpg,2025-06-05 16:36:45 UTC,15016,66de9c95-e590-4b0d-a2d7-886d7a488a10

