Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Contentious Plan,Sorcery,{1}{U},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2104096.jpg,2025-10-11 15:47:14 UTC,188606,8e30deb6-9e1f-4545-ae30-c30ba6c7b3a0
4,Experimental Augury,Instant,{1}{U},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2037201.jpg,2025-10-11 16:06:22 UTC,478436,e508ae5d-ffb5-4480-be90-a4394954b559
1,Forest,Basic Land - Forest,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301291.jpg,2025-10-11 16:07:42 UTC,662982,a305e44f-4253-4754-b83f-1e34103d77b0
4,Hickory Woodlot,Land,"",Common,$5.70,main,https://s.deckbox.org/system/images/mtg/cards/2072613.jpg,2025-10-11 16:08:37 UTC,6553,af7aafb7-6870-4d09-a191-70786766c459
4,Infectious Inquiry,Sorcery,{2}{B},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2037249.jpg,2025-10-11 15:47:16 UTC,479616,0a10f284-b043-4307-bdc7-6dad47cc9221
2,Island,Basic Land - Island,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301288.jpg,2025-10-11 16:08:35 UTC,662979,a2e22347-f0cb-4cfd-88a3-4f46a16e4946
4,Lórien Revealed,Sorcery,{3}{U}{U},Common,$3.03,main,https://s.deckbox.org/system/images/mtg/cards/2042712.jpg,2025-10-11 16:07:15 UTC,499960,0ce44270-a684-4489-9077-521456e6dfaa
4,Manamorphose,Instant,{1}{RG},Common,$4.46,main,https://s.deckbox.org/system/images/mtg/cards/2069845.jpg,2025-10-11 16:06:24 UTC,18700,50283122-b8c4-4fb3-8eba-6252b72222f4
1,Mountain,Basic Land - Mountain,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2301290.jpg,2025-10-11 16:08:08 UTC,662981,c44f81ca-f72f-445c-8901-3a894a2a47f9
2,Peat Bog,Land,"",Common,$1.54,main,https://s.deckbox.org/system/images/mtg/cards/2072611.jpg,2025-10-11 16:09:22 UTC,6631,bcc9d1e0-c8f4-4bac-90d4-8167f7a1515a
4,Pentad Prism,Artifact,{2},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2079069.jpg,2025-10-11 16:07:12 UTC,11765,672b9b16-daef-44e6-9a3a-cfd9f3c78bc7
1,Prologue to Phyresis,Instant,{1}{U},Common,$0.39,main,https://s.deckbox.org/system/images/mtg/cards/2037217.jpg,2025-10-11 16:06:39 UTC,479581,ac625f30-ed91-4b21-ada8-aaa5b2ad79b8
2,Sandstone Needle,Land,"",Common,$4.45,main,https://s.deckbox.org/system/images/mtg/cards/2072612.jpg,2025-10-11 16:09:24 UTC,6680,82bc7c6b-2e3d-42d1-b2bb-b37b6f34d33b
4,Saprazzan Skerry,Land,"",Common,$2.26,main,https://s.deckbox.org/system/images/mtg/cards/2072610.jpg,2025-10-11 16:09:20 UTC,6688,006871fd-2641-42cb-a2ac-a33d05fc5a35
3,Snap,Instant,{1}{U},Common,$2.28,main,https://s.deckbox.org/system/images/mtg/cards/2036761.jpg,2025-10-11 16:06:42 UTC,458224,f13406c6-f208-402a-94d3-a94a24f03563
3,Steady Progress,Instant,{2}{U},Common,$0.27,main,https://s.deckbox.org/system/images/mtg/cards/2083227.jpg,2025-10-11 16:07:20 UTC,36244,6fe212ed-31cb-4f10-8ba7-e97af1d30d24
1,Swamp,Basic Land - Swamp,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2301289.jpg,2025-10-11 16:08:32 UTC,662980,f0b234d8-d6bb-48ec-8a4d-d8a570a69c62
4,Thirsting Roots,Sorcery,{G},Common,$0.43,main,https://s.deckbox.org/system/images/mtg/cards/2037337.jpg,2025-10-11 15:46:33 UTC,479564,75a4a340-453b-471a-82ba-48ebf20b271a
4,Vivisurgeon's Insight,Sorcery,{3}{U}{U},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2037229.jpg,2025-10-11 15:47:46 UTC,479591,cd244359-781e-4e1d-946d-243664f40c7c
4,Weather the Storm,Instant,{1}{G},Common,$0.82,main,https://s.deckbox.org/system/images/mtg/cards/2104595.jpg,2025-10-11 16:06:48 UTC,191064,f6a9fa51-78c3-42e6-8c2e-39658f59ed87
2,Breath Weapon,Instant,{2}{R},Common,$1.67,sideboard,https://s.deckbox.org/system/images/mtg/cards/2028294.jpg,2025-10-11 16:09:45 UTC,273294,0174e40a-0ef5-4439-91e6-3fc39f482520
4,Dispel,Instant,{U},Common,$0.32,sideboard,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-10-11 16:09:44 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
3,Faerie Macabre,Creature - Faerie Rogue,{1}{B}{B},Common,$4.37,sideboard,https://s.deckbox.org/system/images/mtg/cards/2060073.jpg,2025-10-11 16:10:16 UTC,563099,b666a543-6570-4789-9ec4-8d8922181274
3,Moment's Peace,Instant,{1}{G},Common,$1.81,sideboard,https://s.deckbox.org/system/images/mtg/cards/2060936.jpg,2025-10-11 16:10:14 UTC,564110,05087bc1-ac45-4405-9074-8272a321ab86
3,Pyroblast,Instant,{R},Uncommon,$6.90,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070395.jpg,2025-10-11 16:10:28 UTC,2332,15d2d7cd-d29d-4f19-8490-88bd526ff1c5

