Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Alms of the Vein,Sorcery,{2}{B},Common,$0.70,main,https://s.deckbox.org/system/images/mtg/cards/2093434.jpg,2025-05-10 14:44:02 UTC,116358,79b80948-a3cd-4962-8fce-d58f2db7e68e
1,Bojuka Bog,Land,"",Common,$0.85,main,https://s.deckbox.org/system/images/mtg/cards/2299327.jpg,2025-05-10 18:36:56 UTC,642036,b0c6fb5e-07e2-4d22-be19-60592f00584a
1,End the Festivities,Sorcery,{R},Common,$0.84,main,https://s.deckbox.org/system/images/mtg/cards/2023821.jpg,2025-12-12 07:47:17 UTC,253770,bec748e6-7245-4a71-aeee-cefed8346948
4,Faithless Looting,Sorcery,{R},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2084749.jpg,2025-05-10 14:43:08 UTC,57594,a1b0da17-d595-441d-811c-a2d28d2bb232
4,Fiery Temper,Instant,{1}{R}{R},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2093443.jpg,2025-05-10 14:43:48 UTC,115275,61caf82d-e077-4931-a6ad-09fa7f04b36f
4,Grab the Prize,Sorcery,{1}{R},Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2059355.jpg,2025-05-10 14:44:07 UTC,576881,50895202-f1a1-4840-a11a-55b78b8b5929
4,Highway Robbery,Sorcery,{1}{R},Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2055094.jpg,2025-12-03 11:59:38 UTC,544664,31a88429-9204-4a23-a7a8-babbd6bab79f
4,Jagged Barrens,Land - Desert,"",Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2055224.jpg,2025-05-10 18:37:06 UTC,544236,5d809f5b-d965-4cb1-a9f8-2048f8534373
4,Kitchen Imp,Creature - Imp,{3}{B},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2115770.jpg,2025-05-10 14:27:49 UTC,239724,20c7b777-c002-45c7-b2bb-d21dab591445
4,Lightning Bolt,Instant,{R},Uncommon,$0.55,main,https://s.deckbox.org/system/images/mtg/cards/2296316.jpg,2025-05-10 14:43:43 UTC,632180,e89794ab-6070-4916-936f-2b42fe41d31b
8,Mountain,Basic Land - Mountain,"",BasicLand,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2313157.jpg,2025-05-10 18:37:09 UTC,671046,295b92bc-d66f-45d8-9bbe-5f5f13e39fd4
2,Rakdos Carnarium,Land,"",Uncommon,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2313480.jpg,2025-12-12 07:47:12 UTC,671218,20c799a9-ab94-46e6-9111-00505e071c41
1,Razortrap Gorge,Land,"",Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2059484.jpg,2025-12-12 07:47:29 UTC,575108,98d0d067-b52d-47ec-ba7b-8cfcd716c0e5
4,Sneaky Snacker,Creature - Faerie Rogue,{U}{B},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2056604.jpg,2025-05-10 14:28:23 UTC,553311,0e3aedae-e4bb-48e3-9f8b-bea0430df306
3,Swamp,Basic Land - Swamp,"",BasicLand,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2313156.jpg,2025-05-10 18:36:36 UTC,671040,1dd4d605-02a2-4183-b191-0bca8dfbf962
4,Vampire's Kiss,Sorcery,{1}{B},Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2023799.jpg,2025-05-10 14:42:58 UTC,254799,974bf8cc-4259-48cc-8e7f-1580bb010d3f
4,Voldaren Epicure,Creature - Vampire,{R},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2024001.jpg,2025-05-10 14:28:11 UTC,253792,feda6bb3-ee22-489c-bcfd-52ef04841024
2,Cast into the Fire,Instant,{1}{R},Common,$0.65,sideboard,https://s.deckbox.org/system/images/mtg/cards/2042770.jpg,2026-02-03 22:04:36 UTC,498308,2ef878cb-27b6-47d8-ad11-bd20529b0e7e
3,Contaminated Ground,Enchantment - Aura,{1}{B},Common,$0.08,sideboard,https://s.deckbox.org/system/images/mtg/cards/2086018.jpg,2025-05-10 18:38:23 UTC,67534,c2384356-0a62-499a-8b28-085974331368
2,Duress,Sorcery,{B},Common,$0.12,sideboard,https://s.deckbox.org/system/images/mtg/cards/2062721.jpg,2026-02-03 22:06:17 UTC,589335,34c3a894-ee75-4db9-a69f-711bb3cc150a
2,Extract a Confession,Sorcery,{1}{B},Common,$0.16,sideboard,https://s.deckbox.org/system/images/mtg/cards/2052003.jpg,2025-05-10 18:38:52 UTC,532879,256c8b6e-4031-458b-8eb9-bbfe58405a0c
2,Nihil Spellbomb,Artifact,{1},Common,$1.72,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083062.jpg,2026-02-03 22:02:21 UTC,36518,603d217b-6375-46fc-992a-8dbd779da1e5
3,Pyroblast,Instant,{R},Uncommon,$7.18,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070395.jpg,2026-02-03 22:05:33 UTC,2332,15d2d7cd-d29d-4f19-8490-88bd526ff1c5
1,Tectonic Hazard,Sorcery,{R},Common,$0.17,sideboard,https://s.deckbox.org/system/images/mtg/cards/2048541.jpg,2026-02-03 22:06:11 UTC,526294,5204c781-f568-4c7f-b3f7-ce4dd678689b

