Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Alms of the Vein,Sorcery,{2}{B},Common,$0.57,main,https://s.deckbox.org/system/images/mtg/cards/2093434.jpg,2025-05-10 14:44:02 UTC,116358,79b80948-a3cd-4962-8fce-d58f2db7e68e
1,Bojuka Bog,Land,"",Common,$0.76,main,https://s.deckbox.org/system/images/mtg/cards/2299327.jpg,2025-05-10 18:36:56 UTC,642036,b0c6fb5e-07e2-4d22-be19-60592f00584a
1,End the Festivities,Sorcery,{R},Common,$0.90,main,https://s.deckbox.org/system/images/mtg/cards/2023821.jpg,2025-12-12 07:47:17 UTC,253770,bec748e6-7245-4a71-aeee-cefed8346948
4,Faithless Looting,Sorcery,{R},Common,$0.33,main,https://s.deckbox.org/system/images/mtg/cards/2084749.jpg,2025-05-10 14:43:08 UTC,57594,a1b0da17-d595-441d-811c-a2d28d2bb232
4,Fiery Temper,Instant,{1}{R}{R},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2093443.jpg,2025-05-10 14:43:48 UTC,115275,61caf82d-e077-4931-a6ad-09fa7f04b36f
4,Grab the Prize,Sorcery,{1}{R},Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2059355.jpg,2025-05-10 14:44:07 UTC,576881,50895202-f1a1-4840-a11a-55b78b8b5929
4,Highway Robbery,Sorcery,{1}{R},Common,$0.24,main,https://s.deckbox.org/system/images/mtg/cards/2055094.jpg,2025-12-03 11:59:38 UTC,544664,31a88429-9204-4a23-a7a8-babbd6bab79f
4,Jagged Barrens,Land - Desert,"",Common,$0.56,main,https://s.deckbox.org/system/images/mtg/cards/2055224.jpg,2025-05-10 18:37:06 UTC,544236,5d809f5b-d965-4cb1-a9f8-2048f8534373
4,Kitchen Imp,Creature - Imp,{3}{B},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2115770.jpg,2025-05-10 14:27:49 UTC,239724,20c7b777-c002-45c7-b2bb-d21dab591445
4,Lightning Bolt,Instant,{R},Uncommon,$0.45,main,https://s.deckbox.org/system/images/mtg/cards/2296316.jpg,2025-05-10 14:43:43 UTC,632180,e89794ab-6070-4916-936f-2b42fe41d31b
8,Mountain,Basic Land - Mountain,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2301290.jpg,2025-05-10 18:37:09 UTC,662981,c44f81ca-f72f-445c-8901-3a894a2a47f9
2,Rakdos Carnarium,Land,"",Common,$0.41,main,https://s.deckbox.org/system/images/mtg/cards/2052975.jpg,2025-12-12 07:47:12 UTC,534741,b2eaa0f2-9f8e-4b41-8916-9c9a985c39de
1,Razortrap Gorge,Land,"",Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2059484.jpg,2025-12-12 07:47:29 UTC,575108,98d0d067-b52d-47ec-ba7b-8cfcd716c0e5
4,Sneaky Snacker,Creature - Faerie Rogue,{U}{B},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2056604.jpg,2025-05-10 14:28:23 UTC,553311,0e3aedae-e4bb-48e3-9f8b-bea0430df306
3,Swamp,Basic Land - Swamp,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2301289.jpg,2025-05-10 18:36:36 UTC,662980,f0b234d8-d6bb-48ec-8a4d-d8a570a69c62
4,Vampire's Kiss,Sorcery,{1}{B},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2023799.jpg,2025-05-10 14:42:58 UTC,254799,974bf8cc-4259-48cc-8e7f-1580bb010d3f
4,Voldaren Epicure,Creature - Vampire,{R},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2024001.jpg,2025-05-10 14:28:11 UTC,253792,feda6bb3-ee22-489c-bcfd-52ef04841024
2,Bone Shards,Sorcery,{B},Common,$0.20,sideboard,https://s.deckbox.org/system/images/mtg/cards/2061577.jpg,2025-05-10 18:39:23 UTC,582594,aaf8da46-ed95-4812-8085-5e14b3c2df0e
2,Breath Weapon,Instant,{2}{R},Common,$1.67,sideboard,https://s.deckbox.org/system/images/mtg/cards/2028294.jpg,2025-05-10 18:38:50 UTC,273294,0174e40a-0ef5-4439-91e6-3fc39f482520
3,Contaminated Ground,Enchantment - Aura,{1}{B},Common,$0.08,sideboard,https://s.deckbox.org/system/images/mtg/cards/2086018.jpg,2025-05-10 18:38:23 UTC,67534,c2384356-0a62-499a-8b28-085974331368
2,End the Festivities,Sorcery,{R},Common,$0.90,sideboard,https://s.deckbox.org/system/images/mtg/cards/2023821.jpg,2025-05-10 18:39:42 UTC,253770,bec748e6-7245-4a71-aeee-cefed8346948
2,Extract a Confession,Sorcery,{1}{B},Common,$0.17,sideboard,https://s.deckbox.org/system/images/mtg/cards/2052003.jpg,2025-05-10 18:38:52 UTC,532879,256c8b6e-4031-458b-8eb9-bbfe58405a0c
2,Faerie Macabre,Creature - Faerie Rogue,{1}{B}{B},Common,$4.37,sideboard,https://s.deckbox.org/system/images/mtg/cards/2060073.jpg,2025-05-10 18:39:26 UTC,563099,b666a543-6570-4789-9ec4-8d8922181274
2,Smash to Smithereens,Instant,{1}{R},Common,$0.17,sideboard,https://s.deckbox.org/system/images/mtg/cards/2091721.jpg,2025-05-10 18:38:30 UTC,100330,655c489f-bffb-45a4-8e7c-2d1a35220197

