Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Big Score,Instant,{3}{R},Common,$0.90,main,https://s.deckbox.org/system/images/mtg/cards/2026549.jpg,2026-01-09 10:21:05 UTC,268785,39d1578f-e2cf-4b93-8204-ed5434feb183
2,Burning Curiosity,Sorcery,{2}{R},Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2313013.jpg,2026-02-03 17:28:01 UTC,671174,689ed288-6228-4d7e-b198-56a12b8be299
3,First Day of Class,Instant,{1}{R},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2114300.jpg,2026-01-09 10:23:02 UTC,235196,091eb13d-9318-4b12-9f94-6276b11981d1
1,Forest,Basic Land - Forest,"",BasicLand,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2313158.jpg,2026-01-09 10:24:08 UTC,671047,b460f5f7-c7c9-400c-8419-23d614f45bf9
4,Geothermal Crevice,Land,"",Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2074104.jpg,2026-01-09 10:24:00 UTC,7507,e744b593-13fe-4967-b492-ac02f5815e57
4,Glimpse the Impossible,Sorcery,{2}{R},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2056523.jpg,2026-01-09 10:15:31 UTC,552276,133ad0dd-5b61-4c38-9264-0b0e75b95d95
4,Goblin Anarchomancer,Creature - Goblin Shaman,{R}{G},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2115848.jpg,2026-01-09 10:19:57 UTC,240454,f7f07a80-05b5-4108-9e68-f8da05866acc
4,Hickory Woodlot,Land,"",Common,$4.92,main,https://s.deckbox.org/system/images/mtg/cards/2072613.jpg,2026-01-09 10:21:39 UTC,6553,af7aafb7-6870-4d09-a191-70786766c459
4,Manamorphose,Instant,{1}{RG},Common,$4.82,main,https://s.deckbox.org/system/images/mtg/cards/2069845.jpg,2026-01-09 10:20:32 UTC,18700,50283122-b8c4-4fb3-8eba-6252b72222f4
4,Mountain,Basic Land - Mountain,"",BasicLand,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2313157.jpg,2026-02-03 16:50:41 UTC,671046,295b92bc-d66f-45d8-9bbe-5f5f13e39fd4
4,Pirate's Pillage,Sorcery,{3}{R},Uncommon,$0.79,main,https://s.deckbox.org/system/images/mtg/cards/2098601.jpg,2026-01-09 10:20:55 UTC,155641,c99c812f-89b1-4741-a50d-8634e003a7c0
3,Reckless Impulse,Sorcery,{1}{R},Common,$0.88,main,https://s.deckbox.org/system/images/mtg/cards/2023843.jpg,2026-01-09 10:29:21 UTC,253542,6943c07f-ab0d-4f5a-bbe9-c0a83dc98546
4,Sandstone Needle,Land,"",Common,$8.32,main,https://s.deckbox.org/system/images/mtg/cards/2072612.jpg,2026-01-09 10:21:42 UTC,6680,82bc7c6b-2e3d-42d1-b2bb-b37b6f34d33b
4,Seething Song,Instant,{2}{R},Common,$7.52,main,https://s.deckbox.org/system/images/mtg/cards/2080232.jpg,2026-01-09 10:20:29 UTC,12811,10418027-7b05-49e7-8ff4-6a03e3fb656b
