Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Big Score,Instant,{3}{R},Common,$0.80,main,https://s.deckbox.org/system/images/mtg/cards/2026549.jpg,2026-01-09 10:21:05 UTC,268785,39d1578f-e2cf-4b93-8204-ed5434feb183
3,First Day of Class,Instant,{1}{R},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2114300.jpg,2026-01-09 10:23:02 UTC,235196,091eb13d-9318-4b12-9f94-6276b11981d1
1,Forest,Basic Land - Forest,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2301291.jpg,2026-01-09 10:24:08 UTC,662982,a305e44f-4253-4754-b83f-1e34103d77b0
4,Geothermal Crevice,Land,"",Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2074104.jpg,2026-01-09 10:24:00 UTC,7507,e744b593-13fe-4967-b492-ac02f5815e57
4,Glimpse the Impossible,Sorcery,{2}{R},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2056523.jpg,2026-01-09 10:15:31 UTC,552276,133ad0dd-5b61-4c38-9264-0b0e75b95d95
4,Goblin Anarchomancer,Creature - Goblin Shaman,{R}{G},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2115848.jpg,2026-01-09 10:19:57 UTC,240454,f7f07a80-05b5-4108-9e68-f8da05866acc
4,Hickory Woodlot,Land,"",Common,$5.70,main,https://s.deckbox.org/system/images/mtg/cards/2072613.jpg,2026-01-09 10:21:39 UTC,6553,af7aafb7-6870-4d09-a191-70786766c459
4,Manamorphose,Instant,{1}{RG},Common,$4.46,main,https://s.deckbox.org/system/images/mtg/cards/2069845.jpg,2026-01-09 10:20:32 UTC,18700,50283122-b8c4-4fb3-8eba-6252b72222f4
5,Mountain,Basic Land - Mountain,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2301290.jpg,2026-01-09 10:24:12 UTC,662981,c44f81ca-f72f-445c-8901-3a894a2a47f9
4,Pirate's Pillage,Sorcery,{3}{R},Uncommon,$0.58,main,https://s.deckbox.org/system/images/mtg/cards/2098601.jpg,2026-01-09 10:20:55 UTC,155641,c99c812f-89b1-4741-a50d-8634e003a7c0
3,Reckless Impulse,Sorcery,{1}{R},Common,$0.65,main,https://s.deckbox.org/system/images/mtg/cards/2023843.jpg,2026-01-09 10:29:21 UTC,253542,6943c07f-ab0d-4f5a-bbe9-c0a83dc98546
4,Sandstone Needle,Land,"",Common,$4.45,main,https://s.deckbox.org/system/images/mtg/cards/2072612.jpg,2026-01-09 10:21:42 UTC,6680,82bc7c6b-2e3d-42d1-b2bb-b37b6f34d33b
4,Seething Song,Instant,{2}{R},Common,$7.73,main,https://s.deckbox.org/system/images/mtg/cards/2080232.jpg,2026-01-09 10:20:29 UTC,12811,10418027-7b05-49e7-8ff4-6a03e3fb656b
2,Seize the Storm,Sorcery,{4}{R},Uncommon,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2117453.jpg,2026-01-09 10:22:45 UTC,247960,532e079f-55b7-4b92-b489-aed4d3becae7
3,Spider Manifestation,Creature - Spider Avatar,{1}{RG},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2300043.jpg,2026-01-09 10:29:05 UTC,652016,99223677-b8a5-48f1-8009-e8475eada7db
4,Thornscape Familiar,Creature - Insect,{1}{G},Common,$0.22,main,https://s.deckbox.org/system/images/mtg/cards/2074465.jpg,2026-01-09 10:20:10 UTC,7898,76c6e426-6165-4f8e-8766-de768ae13452
3,Wrenn's Resolve,Sorcery,{1}{R},Common,$1.21,main,https://s.deckbox.org/system/images/mtg/cards/2040785.jpg,2026-01-09 10:29:19 UTC,491759,9a47999c-12d5-4e1a-a9c1-40a1757007f1
1,Firebending Lesson,Instant - Lesson,{R},Common,$0.12,sideboard,https://s.deckbox.org/system/images/mtg/cards/2301138.jpg,2026-01-09 10:25:42 UTC,662768,fa940e68-010e-4b68-be8a-555d7068f7b4
1,Flaring Pain,Instant,{1}{R},Common,$1.12,sideboard,https://s.deckbox.org/system/images/mtg/cards/2075825.jpg,2026-01-09 10:24:41 UTC,10249,eeb5c96a-1d16-459d-9968-ced9a8f1c520
1,How to Start a Riot,Instant - Lesson,{2}{R},Common,$0.05,sideboard,https://s.deckbox.org/system/images/mtg/cards/2301140.jpg,2026-01-09 10:25:46 UTC,649565,23b3bf1e-ea85-47f5-8473-4d16615f68d7
1,Origin of Metalbending,Instant - Lesson,{1}{G},Common,$0.17,sideboard,https://s.deckbox.org/system/images/mtg/cards/2301189.jpg,2026-01-09 10:24:59 UTC,661801,25749f9a-260d-4bdc-bd28-429c12faa4a5
4,Pyroblast,Instant,{R},Uncommon,$6.90,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070395.jpg,2026-01-09 10:25:28 UTC,2332,15d2d7cd-d29d-4f19-8490-88bd526ff1c5
