Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Ancient Den,Artifact Land,"",Common,$0.95,main,https://s.deckbox.org/system/images/mtg/cards/2299326.jpg,2025-09-17 05:26:08 UTC,642847,d9a7b0f6-97f9-4937-865c-e25c142c3ed7
4,Arcbound Mouser,Artifact Creature - Cat,{W},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2045974.jpg,2025-09-17 05:24:11 UTC,513156,607d2f3e-0316-4928-9078-4aae7fd47bfd
4,Arcbound Prototype,Artifact Creature - Assembly-Worker,{1}{W},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2115431.jpg,2025-09-17 05:24:14 UTC,240417,1cb0a1a4-9216-47f8-a4e3-20fe0de6a518
4,Ardent Recruit,Creature - Human Soldier,{W},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2083299.jpg,2025-09-17 05:31:33 UTC,39146,69c42dac-f0b3-41aa-b3b2-f203e265131d
3,Auriok Sunchaser,Creature - Human Soldier,{1}{W},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2083103.jpg,2026-02-05 09:05:25 UTC,36427,e274a8b3-2d92-43d9-a436-d3f6f619ca95
4,Court Homunculus,Artifact Creature - Homunculus,{W},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2071481.jpg,2025-09-17 05:31:48 UTC,28518,fd20150c-ae49-457d-9f64-b72160745ff9
1,Eagles of the North,Creature - Bird Soldier,{5}{W},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2042659.jpg,2026-02-05 09:03:58 UTC,499404,c1bd3bc0-77bd-40fe-b4f1-835a04cb6e41
4,Gingerbrute,Artifact Creature - Food Golem,{1},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2046282.jpg,2025-09-17 05:26:52 UTC,513348,09a4578a-7dc6-4da3-93ee-913b10be5740
1,Greatsword of Tyr,Artifact - Equipment,{1}{W},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2028151.jpg,2026-02-05 09:04:15 UTC,272908,50088a60-642b-47ed-a289-ef0b617b688f
3,Lead the Stampede,Sorcery,{2}{G},Uncommon,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2108939.jpg,2025-09-20 21:04:15 UTC,212626,9e76b676-c7a3-4de6-a78d-3059a0df83f2
4,Magitek Infantry,Artifact Creature - Robot Soldier,{W},Common,$0.02,main,https://s.deckbox.org/system/images/mtg/cards/2295106.jpg,2025-09-17 05:32:17 UTC,633969,b64dc6d7-dd01-4e66-9099-4c90865448df
2,Myr Enforcer,Artifact Creature - Myr,{7},Common,$0.48,main,https://s.deckbox.org/system/images/mtg/cards/2063687.jpg,2026-02-05 09:02:04 UTC,590103,78a6ec6a-b59d-4c39-a0fa-7e1d2a8a0df3
7,Plains,Basic Land - Plains,"",BasicLand,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2313154.jpg,2025-09-20 21:05:37 UTC,671036,3a438199-54f8-4702-81cf-a9d42e7cd9f1
1,Survivors' Bond,Sorcery,{1}{G},Common,$0.04,main,https://s.deckbox.org/system/images/mtg/cards/2108948.jpg,2026-02-05 09:05:44 UTC,212707,530ff2a1-6447-4653-a661-d9a39156d6fa
4,Thornglint Bridge,Artifact Land,"",Common,$0.27,main,https://s.deckbox.org/system/images/mtg/cards/2065434.jpg,2025-09-17 05:26:00 UTC,600088,13e96e38-22e3-4e85-a323-4d0ce45ed5b9
4,Thraben Charm,Instant,{1}{W},Common,$0.27,main,https://s.deckbox.org/system/images/mtg/cards/2056444.jpg,2025-09-17 05:26:34 UTC,552284,dd28a646-f38f-4cdf-948c-969cd979e5e6
3,Thraben Inspector,Creature - Human Soldier,{W},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2093330.jpg,2026-02-05 09:06:02 UTC,114876,d140c3b7-ca78-483d-baeb-307b624fea8b
2,Tree of Tales,Artifact Land,"",Common,$0.83,main,https://s.deckbox.org/system/images/mtg/cards/2077819.jpg,2025-09-17 05:26:20 UTC,11309,94db07aa-43d3-41b5-924e-60f1756b9c69
1,Winding Way,Sorcery,{1}{G},Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2061637.jpg,2026-02-05 09:05:52 UTC,583330,0c1c6256-6302-4627-bfbb-bffdc124fab4
4,Fog,Instant,{G},Common,$5.00,sideboard,https://s.deckbox.org/system/images/mtg/cards/2102377.jpg,2025-09-20 10:10:58 UTC,69151,8b55d04f-c52f-4b94-b25c-f5c7d8c1c18e

