Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Abundant Growth,Enchantment - Aura,{G},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2084981.jpg,2026-02-03 17:39:10 UTC,58959,afbc8fd0-dc15-4ac9-b97b-173f7fb66ed7
1,Bladeback Sliver,Creature - Sliver,{1}{R},Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2104471.jpg,2026-02-03 17:41:59 UTC,191071,7066c9ab-9420-46f9-a6c7-ce4d5273e2fa
3,Blossoming Sands,Land,"",Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2290691.jpg,2026-02-03 18:05:18 UTC,623949,0a9df994-e0f4-4919-af99-4f643eb9199c
6,Forest,Basic Land - Forest,"",BasicLand,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2313158.jpg,2026-02-03 18:05:22 UTC,671047,b460f5f7-c7c9-400c-8419-23d614f45bf9
4,Gemhide Sliver,Creature - Sliver,{1}{G},Common,$0.58,main,https://s.deckbox.org/system/images/mtg/cards/2066814.jpg,2026-02-03 17:50:49 UTC,14243,f09135b0-fd57-4205-aa74-c9869946c264
1,Generous Ent,Creature - Treefolk,{5}{G},Common,$0.98,main,https://s.deckbox.org/system/images/mtg/cards/2042821.jpg,2026-02-03 17:50:54 UTC,498328,85d22d5d-3875-42ff-b51e-c6e21db201f5
2,Heart Sliver,Creature - Sliver,{1}{R},Common,$1.19,main,https://s.deckbox.org/system/images/mtg/cards/2078195.jpg,2026-02-03 17:44:33 UTC,5581,27a83ab6-0d15-49e4-90e3-b3a2a095c632
2,Holdout Settlement,Land,,Common,$0.29,main,https://s.deckbox.org/system/images/mtg/cards/2093039.jpg,2026-02-03 18:03:25 UTC,111039,cf08c317-6f2d-47e3-ab5b-8af73fd3e404
2,Hunter Sliver,Creature - Sliver,{1}{R},Common,$0.58,main,https://s.deckbox.org/system/images/mtg/cards/2077186.jpg,2026-02-03 17:42:34 UTC,10782,ca9aea1a-6f50-4f66-9f36-2e214dce41b4
2,Lead the Stampede,Sorcery,{2}{G},Uncommon,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2108939.jpg,2026-02-03 17:44:37 UTC,212626,9e76b676-c7a3-4de6-a78d-3059a0df83f2
2,Mountain,Basic Land - Mountain,"",BasicLand,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2313157.jpg,2025-06-04 14:43:39 UTC,671046,295b92bc-d66f-45d8-9bbe-5f5f13e39fd4
4,Muscle Sliver,Creature - Sliver,{1}{G},Common,$1.37,main,https://s.deckbox.org/system/images/mtg/cards/2078094.jpg,2025-06-04 14:37:14 UTC,5646,602a1e1f-4195-48c0-8290-562e7e0db6d8
3,Plains,Basic Land - Plains,"",BasicLand,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2313154.jpg,2026-02-03 18:03:39 UTC,671036,3a438199-54f8-4702-81cf-a9d42e7cd9f1
4,Plated Sliver,Creature - Sliver,{W},Common,$0.53,main,https://s.deckbox.org/system/images/mtg/cards/2076884.jpg,2025-06-04 14:37:16 UTC,10710,82846d31-4981-4ef1-85c3-703569146a84
4,Predatory Sliver,Creature - Sliver,{1}{G},Common,$0.54,main,https://s.deckbox.org/system/images/mtg/cards/2086791.jpg,2025-06-04 14:37:39 UTC,69180,a2e37de8-66a1-4afa-aa6f-1151f849dfa8
1,Rugged Highlands,Land,"",Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2290705.jpg,2026-02-03 18:05:36 UTC,623954,31261eca-28ad-407c-84ef-0c124d0d7451
2,Sentinel Sliver,Creature - Sliver,{1}{W},Common,$0.38,main,https://s.deckbox.org/system/images/mtg/cards/2086758.jpg,2025-06-04 14:38:02 UTC,68223,74c28560-e6ac-4be9-a253-22c4613b0d90
4,Sidewinder Sliver,Creature - Sliver,{W},Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2066806.jpg,2025-06-04 14:38:16 UTC,14357,b073b8f2-b42d-40f2-b5fb-e78ffb1733ea
4,Sinew Sliver,Creature - Sliver,{1}{W},Common,$0.46,main,https://s.deckbox.org/system/images/mtg/cards/2067154.jpg,2025-06-04 14:38:14 UTC,14810,6cd2ed50-cd9a-45d9-a59a-6279be1ab308
1,Two-Headed Sliver,Creature - Sliver,{1}{R},Common,$0.32,main,https://s.deckbox.org/system/images/mtg/cards/2066189.jpg,2026-02-03 17:44:21 UTC,14410,2f89fb3b-0238-4d76-a46d-7d6fa4a74620
4,Winding Way,Sorcery,{1}{G},Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2061637.jpg,2025-06-04 14:41:41 UTC,583330,0c1c6256-6302-4627-bfbb-bffdc124fab4
2,Crypt Sliver,Creature - Sliver,{1}{B},Common,$0.77,sideboard,https://s.deckbox.org/system/images/mtg/cards/2076888.jpg,2026-02-03 18:07:56 UTC,10748,507097eb-6b50-47ae-a545-df76b743b2bd
3,Gut Shot,Instant,{RP},Uncommon,$3.89,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083513.jpg,2026-02-03 18:07:01 UTC,39528,a54a2a30-b96a-49c7-9151-1f4b0d4a4413
2,Hallow,Instant,{W},Common,$0.38,sideboard,https://s.deckbox.org/system/images/mtg/cards/2075149.jpg,2026-02-03 18:07:59 UTC,11741,80fe80a0-cb3d-48bc-b67e-2e2253cfee14
3,Masked Vandal,Creature - Shapeshifter,{1}{G},Common,$1.11,sideboard,https://s.deckbox.org/system/images/mtg/cards/2113265.jpg,2026-02-03 18:06:13 UTC,230134,f0a9c72a-e450-41e3-80e5-06f2f1171245
2,Standard Bearer,Creature - Human Flagbearer,{1}{W},Common,$0.84,sideboard,https://s.deckbox.org/system/images/mtg/cards/2074835.jpg,2026-02-03 18:06:20 UTC,8032,e0f8e16a-55f0-4147-a01a-dba7938f31c4
2,Thraben Charm,Instant,{1}{W},Common,$0.23,sideboard,https://s.deckbox.org/system/images/mtg/cards/2056444.jpg,2026-02-03 18:45:02 UTC,552284,dd28a646-f38f-4cdf-948c-969cd979e5e6
1,Winged Sliver,Creature - Sliver,{1}{U},Common,$0.55,sideboard,https://s.deckbox.org/system/images/mtg/cards/2078064.jpg,2026-02-03 18:06:33 UTC,5797,03aa58b4-dbc2-414e-aa7a-f09360d59b3c

