Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
3,Blood Fountain,Artifact,{B},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2023750.jpg,2023-03-26 08:37:55 UTC,253719,dd03651e-ada0-41dc-8722-0eba476943e3
1,Candy Trail,Artifact - Food Clue,{1},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2046279.jpg,2025-05-22 12:40:38 UTC,513362,1a860925-d912-49e5-9ddc-41ab26916bb3
4,Drossforge Bridge,Artifact Land,"",Common,$0.57,main,https://s.deckbox.org/system/images/mtg/cards/2115673.jpg,2025-05-22 12:27:12 UTC,239716,5b46b8d8-723a-4752-b97d-29ef83bd294c
4,Fanatical Offering,Instant,{1}{B},Common,$0.56,main,https://s.deckbox.org/system/images/mtg/cards/2048467.jpg,2025-05-22 12:32:31 UTC,526191,d896dd52-b134-4b55-ab91-ccb05ecc50f4
4,Galvanic Blast,Instant,{R},Common,$2.67,main,https://s.deckbox.org/system/images/mtg/cards/2083080.jpg,2023-03-26 08:35:21 UTC,36340,f5881bbc-8600-464d-9dcd-5a7780918d1d
2,Hunter's Blowgun,Artifact - Equipment,{1},Common,$0.10,main,https://s.deckbox.org/system/images/mtg/cards/2048634.jpg,2025-05-22 12:29:06 UTC,526300,3348abe7-6aa3-47f7-8203-a15f75007e33
4,Ichor Wellspring,Artifact,{2},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2083374.jpg,2023-03-26 08:37:00 UTC,39104,2d1ea522-a0f6-45a8-8985-6fcca95d60cc
2,Kenku Artificer,Creature - Bird Artificer,{2}{U},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2028209.jpg,2023-03-26 08:38:40 UTC,273361,20f30aca-5055-45f1-9121-e7a5675f07e4
3,Krark-Clan Shaman,Creature - Goblin Shaman,{R},Common,$3.75,main,https://s.deckbox.org/system/images/mtg/cards/2077766.jpg,2025-05-22 12:30:30 UTC,11418,975f9ea8-af2c-456f-acd0-ffa9ea0d98c1
1,Makeshift Munitions,Enchantment,{1}{R},Uncommon,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2097739.jpg,2025-05-22 12:32:43 UTC,145604,65689442-e679-4844-91a8-f6a39a7c1f9b
4,Mistvault Bridge,Artifact Land,"",Common,$0.41,main,https://s.deckbox.org/system/images/mtg/cards/2033928.jpg,2025-05-22 12:27:14 UTC,452137,7ad684fb-cfb0-48b2-802f-bda96afafdc3
