Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
3,Blood Fountain,Artifact,{B},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2023750.jpg,2023-03-26 08:37:55 UTC,253719,dd03651e-ada0-41dc-8722-0eba476943e3
1,Candy Trail,Artifact - Food Clue,{1},Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2046279.jpg,2025-05-22 12:40:38 UTC,513362,1a860925-d912-49e5-9ddc-41ab26916bb3
4,Drossforge Bridge,Artifact Land,"",Common,$0.54,main,https://s.deckbox.org/system/images/mtg/cards/2115673.jpg,2025-05-22 12:27:12 UTC,239716,5b46b8d8-723a-4752-b97d-29ef83bd294c
4,Fanatical Offering,Instant,{1}{B},Common,$0.43,main,https://s.deckbox.org/system/images/mtg/cards/2048467.jpg,2025-05-22 12:32:31 UTC,526191,d896dd52-b134-4b55-ab91-ccb05ecc50f4
4,Galvanic Blast,Instant,{R},Common,$2.79,main,https://s.deckbox.org/system/images/mtg/cards/2083080.jpg,2023-03-26 08:35:21 UTC,36340,f5881bbc-8600-464d-9dcd-5a7780918d1d
2,Hunter's Blowgun,Artifact - Equipment,{1},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2048634.jpg,2025-05-22 12:29:06 UTC,526300,3348abe7-6aa3-47f7-8203-a15f75007e33
4,Ichor Wellspring,Artifact,{2},Common,$0.29,main,https://s.deckbox.org/system/images/mtg/cards/2083374.jpg,2023-03-26 08:37:00 UTC,39104,2d1ea522-a0f6-45a8-8985-6fcca95d60cc
2,Kenku Artificer,Creature - Bird Artificer,{2}{U},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2028209.jpg,2023-03-26 08:38:40 UTC,273361,20f30aca-5055-45f1-9121-e7a5675f07e4
3,Krark-Clan Shaman,Creature - Goblin Shaman,{R},Common,$3.74,main,https://s.deckbox.org/system/images/mtg/cards/2077766.jpg,2025-05-22 12:30:30 UTC,11418,975f9ea8-af2c-456f-acd0-ffa9ea0d98c1
1,Makeshift Munitions,Enchantment,{1}{R},Uncommon,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2097739.jpg,2025-05-22 12:32:43 UTC,145604,65689442-e679-4844-91a8-f6a39a7c1f9b
4,Mistvault Bridge,Artifact Land,"",Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2033928.jpg,2025-05-22 12:27:14 UTC,452137,7ad684fb-cfb0-48b2-802f-bda96afafdc3
4,Myr Enforcer,Artifact Creature - Myr,{7},Common,$0.73,main,https://s.deckbox.org/system/images/mtg/cards/2077779.jpg,2023-03-26 08:39:04 UTC,11522,eeeef899-a8b5-4416-a208-3bd5a0c7177b
2,Nihil Spellbomb,Artifact,{1},Common,$0.71,main,https://s.deckbox.org/system/images/mtg/cards/2038046.jpg,2025-05-22 12:29:04 UTC,480169,03927043-9276-42d5-9db9-eb935cf8a7c8
4,Reckoner's Bargain,Instant,{1}{B},Common,$0.55,main,https://s.deckbox.org/system/images/mtg/cards/2025604.jpg,2025-05-22 12:32:17 UTC,262771,6338942d-d650-4571-8ec6-4d658792c53e
4,Refurbished Familiar,Artifact Creature - Zombie Rat,{3}{B},Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2056504.jpg,2025-05-22 12:20:11 UTC,553237,b338e078-629c-4cac-bd1d-e1f0a132728d
3,Seat of the Synod,Artifact Land,"",Common,$0.81,main,https://s.deckbox.org/system/images/mtg/cards/2063704.jpg,2023-03-26 08:42:04 UTC,590309,f0cff35c-de07-4465-b3da-efe4a78eb6d0
3,Silverbluff Bridge,Artifact Land,"",Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2053794.jpg,2023-03-26 08:42:27 UTC,540980,820485ab-0a31-4278-9316-ec5b909f4d11
1,Swamp,Basic Land - Swamp,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2290721.jpg,2025-05-22 12:27:52 UTC,623972,f0bfdb9e-318f-4acd-9fbd-41b98a8875d6
2,Thoughtcast,Sorcery,{4}{U},Common,$0.85,main,https://s.deckbox.org/system/images/mtg/cards/2106806.jpg,2025-05-22 12:32:58 UTC,204186,a0d98f40-39bd-4f3a-9867-d273c1a299e7
1,Toxin Analysis,Instant,{B},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2052026.jpg,2025-05-22 12:30:18 UTC,535516,0eda1aff-c1f4-4171-a800-605396cc8168
4,Vault of Whispers,Artifact Land,"",Common,$1.13,main,https://s.deckbox.org/system/images/mtg/cards/2059974.jpg,2023-03-26 08:35:21 UTC,579360,e85e4098-f872-4aa4-a71a-208b6090be28
1,Cast Down,Instant,{1}{B},Uncommon,$0.28,sideboard,https://s.deckbox.org/system/images/mtg/cards/2099205.jpg,2025-05-22 12:35:20 UTC,162900,116ce944-6871-4f51-a889-d9c4a5d7cff2
1,Fiery Cannonade,Instant,{2}{R},Uncommon,$0.11,sideboard,https://s.deckbox.org/system/images/mtg/cards/2097571.jpg,2025-05-22 12:40:20 UTC,145808,664d21c9-4b6c-4797-845f-7bca79c2b76b
2,Gorilla Shaman,Creature - Ape Shaman,{R},Common,$0.60,sideboard,https://s.deckbox.org/system/images/mtg/cards/2071789.jpg,2023-03-26 08:43:57 UTC,4158,bf8b213e-31ca-4eb5-bf0b-515a0ad4fd31
3,Hydroblast,Instant,{U},Uncommon,$2.09,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070380.jpg,2023-03-26 08:44:09 UTC,2204,89a30b8f-6594-42ea-8e60-13ccb1e7efc0
