Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
2,Blood Fountain,Artifact,{B},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2023750.jpg,2025-05-16 13:37:44 UTC,253719,dd03651e-ada0-41dc-8722-0eba476943e3
4,Cast Down,Instant,{1}{B},Uncommon,$0.28,main,https://s.deckbox.org/system/images/mtg/cards/2099205.jpg,2025-05-16 13:38:35 UTC,162900,116ce944-6871-4f51-a889-d9c4a5d7cff2
4,Cleansing Wildfire,Sorcery,{1}{R},Common,$0.29,main,https://s.deckbox.org/system/images/mtg/cards/2111372.jpg,2025-05-16 13:39:24 UTC,221913,492d77e5-acc6-41b8-8930-f39d69234919
1,Crypt Incursion,Instant,{2}{B},Common,$0.28,main,https://s.deckbox.org/system/images/mtg/cards/2086337.jpg,2025-05-16 13:38:52 UTC,67970,c3b71cc5-0a81-4cab-bae3-49335c04aaaa
4,Drossforge Bridge,Artifact Land,"",Common,$0.57,main,https://s.deckbox.org/system/images/mtg/cards/2115673.jpg,2025-05-16 13:40:01 UTC,239716,5b46b8d8-723a-4752-b97d-29ef83bd294c
1,Duress,Sorcery,{B},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2062721.jpg,2025-05-16 13:38:59 UTC,589335,34c3a894-ee75-4db9-a69f-711bb3cc150a
2,Eviscerator's Insight,Instant,{1}{B},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2056492.jpg,2025-05-16 13:38:40 UTC,552853,b00573bd-5bbb-4531-a0bb-a40f62b92b88
4,Fanatical Offering,Instant,{1}{B},Common,$0.56,main,https://s.deckbox.org/system/images/mtg/cards/2048467.jpg,2025-05-16 13:38:38 UTC,526191,d896dd52-b134-4b55-ab91-ccb05ecc50f4
2,Forest,Basic Land - Forest,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2290725.jpg,2025-05-16 13:41:34 UTC,623978,8100bceb-ffba-487a-bb45-4fe2a156a8dc
4,Ichor Wellspring,Artifact,{2},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2083374.jpg,2025-05-16 13:37:42 UTC,39104,2d1ea522-a0f6-45a8-8985-6fcca95d60cc
2,Krark-Clan Shaman,Creature - Goblin Shaman,{R},Common,$3.75,main,https://s.deckbox.org/system/images/mtg/cards/2077766.jpg,2025-05-16 13:36:40 UTC,11418,975f9ea8-af2c-456f-acd0-ffa9ea0d98c1
2,Lembas,Artifact - Food,{2},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2042895.jpg,2025-05-16 13:37:46 UTC,499443,3b46aacf-b31a-4380-9e4b-82795fbaba3b
1,Makeshift Munitions,Enchantment,{1}{R},Uncommon,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2097739.jpg,2025-05-16 13:39:32 UTC,145604,65689442-e679-4844-91a8-f6a39a7c1f9b
1,Mountain,Basic Land - Mountain,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2290723.jpg,2025-05-16 13:41:24 UTC,623975,bfa10a88-12e0-4b79-80bb-6f4620277e20
2,Nihil Spellbomb,Artifact,{1},Common,$1.11,main,https://s.deckbox.org/system/images/mtg/cards/2083062.jpg,2025-05-16 13:37:47 UTC,36518,603d217b-6375-46fc-992a-8dbd779da1e5
2,Nyxborn Hydra,Enchantment Creature - Hydra,{X}{G},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2056563.jpg,2025-05-16 13:37:00 UTC,552872,902a969e-9f22-4e92-93eb-9d4536ca82e5
4,Refurbished Familiar,Artifact Creature - Zombie Rat,{3}{B},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2056504.jpg,2025-05-16 13:36:15 UTC,553237,b338e078-629c-4cac-bd1d-e1f0a132728d
4,Slagwoods Bridge,Artifact Land,"",Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2100419.jpg,2025-05-16 13:40:22 UTC,615223,39a60957-eaee-4154-824f-148dba07161a
