Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
2,Apostle's Blessing,Instant,{1}{WP},Common,$0.31,main,https://s.deckbox.org/system/images/mtg/cards/2083553.jpg,2025-05-12 06:55:33 UTC,39466,9f7c3571-925d-486e-80dd-bac47aa48283
4,Crash Through,Sorcery,{R},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2062735.jpg,2025-05-12 06:54:06 UTC,591022,9eb16918-6363-4849-8d74-e26822a0ddf7
4,Festival Crasher,Creature - Devil,{1}{R},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2117435.jpg,2025-05-12 06:53:08 UTC,247866,626b0477-6165-443a-8a75-dfeac26ac9f9
2,Fling,Instant,{1}{R},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2105703.jpg,2025-05-12 06:55:31 UTC,199530,cb28fe03-8269-41de-b766-42c3421aeaef
4,Ghitu Amplifier,Creature - Human Wizard,{1}{R},Common,$0.02,main,https://s.deckbox.org/system/images/mtg/cards/2030524.jpg,2025-05-12 06:53:11 UTC,283675,b1845806-7585-40d5-9d3a-f13667e6a9d2
4,Kiln Fiend,Creature - Elemental Beast,{1}{R},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2082386.jpg,2025-05-12 06:50:58 UTC,34847,0c584268-67c3-411b-a26c-aee3adf23872
4,Lava Dart,Instant,{R},Common,$0.43,main,https://s.deckbox.org/system/images/mtg/cards/2061013.jpg,2025-05-12 06:54:43 UTC,583381,aaf4dad6-2a00-419e-95d0-023c80ff973a
2,Lightning Bolt,Instant,{R},Uncommon,$0.78,main,https://s.deckbox.org/system/images/mtg/cards/2107284.jpg,2025-05-12 06:54:25 UTC,204725,32a180dd-9641-4546-8940-9b21084f0c71
4,Manamorphose,Instant,{1}{RG},Common,$4.63,main,https://s.deckbox.org/system/images/mtg/cards/2069845.jpg,2025-05-12 06:56:15 UTC,18700,50283122-b8c4-4fb3-8eba-6252b72222f4
16,Mountain,Basic Land - Mountain,"",BasicLand,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2290723.jpg,2025-05-12 06:55:37 UTC,623975,bfa10a88-12e0-4b79-80bb-6f4620277e20
4,Mutagenic Growth,Instant,{GP},Common,$1.35,main,https://s.deckbox.org/system/images/mtg/cards/2061119.jpg,2025-05-12 06:53:58 UTC,583085,c75cf36a-a872-478d-9ed7-f4edc7a8c970
2,Reckless Charge,Sorcery,{R},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2075523.jpg,2025-05-12 06:54:51 UTC,9490,0938e686-345e-4411-b564-cf9324ec6b9d
4,Rite of Flame,Sorcery,{R},Common,$3.81,main,https://s.deckbox.org/system/images/mtg/cards/2066895.jpg,2025-05-12 06:56:36 UTC,14103,c062caf7-f0eb-44db-9f74-e6711a13fada
4,Temur Battle Rage,Instant,{1}{R},Common,$0.20,main,https://s.deckbox.org/system/images/mtg/cards/2090705.jpg,2025-05-12 06:56:00 UTC,95420,8a1dd786-f4e3-4951-b87b-82442edec016
4,Raze the Effigy,Instant,{R},Common,$0.08,sideboard,https://s.deckbox.org/system/images/mtg/cards/2117451.jpg,2025-05-12 06:59:37 UTC,248286,e0dd378c-5050-48c9-9a16-6d91afa62d21

