Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Boulderbranch Golem,Artifact Creature - Golem,{7},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2033540.jpg,2025-05-22 11:50:07 UTC,453138,6e6e5338-9b95-4ac7-a57c-5efaa6423531
4,Eldrazi Repurposer,Creature - Eldrazi Drone,{2}{G},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2056549.jpg,2025-05-22 11:46:25 UTC,553314,37f79ba7-7b65-4387-b498-f770816ce8dd
4,Forest,Basic Land - Forest,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2290725.jpg,2025-05-22 11:46:51 UTC,623978,8100bceb-ffba-487a-bb45-4fe2a156a8dc
8,Maelstrom Colossus,Artifact Creature - Golem,{8},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2063685.jpg,2025-05-22 11:58:03 UTC,594234,d7e724d7-05e7-4717-b4d9-dc7a5cf00e3b
4,Mine Worker,Artifact Creature - Assembly-Worker,{2},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2033583.jpg,2025-05-22 11:39:09 UTC,452812,5aa63321-aa28-449d-a31f-869a98c5a6be
4,Nest Invader,Creature - Eldrazi Drone,{1}{G},Common,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2082334.jpg,2025-05-22 11:46:28 UTC,34895,24517d9c-6cde-41e8-9e82-ee73f069379a
4,Nyxborn Hydra,Enchantment Creature - Hydra,{X}{G},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2056563.jpg,2025-05-22 11:46:17 UTC,552872,902a969e-9f22-4e92-93eb-9d4536ca82e5
4,Power Plant Worker,Artifact Creature - Assembly-Worker,{5},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2033585.jpg,2025-05-22 11:39:07 UTC,452531,99965310-e4bd-40d9-80f5-3fd1754c61c5
4,Scour from Existence,Instant,{7},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2092310.jpg,2025-05-22 11:43:18 UTC,105379,6e47edb2-e43d-479f-a911-e72b67a06c3b
4,Self-Assembler,Artifact Creature - Assembly-Worker,{5},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2094636.jpg,2025-05-22 11:39:03 UTC,123073,3d05c6c2-4bb3-468a-b23c-b0425a9982f1
4,Tower Worker,Artifact Creature - Assembly-Worker,{3},Common,$0.04,main,https://s.deckbox.org/system/images/mtg/cards/2033599.jpg,2025-05-22 11:39:05 UTC,453123,f31bd134-22c8-4031-8f85-ac0855914d11
3,Ulamog's Crusher,Creature - Eldrazi,{8},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2082250.jpg,2025-05-22 11:40:29 UTC,34707,76bacedb-9fa8-4a21-b0eb-e7ead64360b4
4,Urza's Mine,Land - Urza’s Mine,,Common,$0.43,main,https://s.deckbox.org/system/images/mtg/cards/2057380.jpg,2025-05-22 11:35:45 UTC,553233,32dbc719-d8aa-47ff-b7ea-20adadc99ec7
4,Urza's Power Plant,Land - Urza’s Power-Plant,,Common,$0.47,main,https://s.deckbox.org/system/images/mtg/cards/2057381.jpg,2025-05-22 11:35:48 UTC,553229,5e5786d5-355d-454c-b09b-e307a7a324d4
4,Urza's Tower,Land - Urza’s Tower,,Uncommon,$0.73,main,https://s.deckbox.org/system/images/mtg/cards/2080162.jpg,2025-05-22 11:35:50 UTC,12869,513e063c-b328-4e5f-8806-b232c38645f5

