Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Architects of Will,Artifact Creature - Human Wizard,{2}{U}{B},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2071400.jpg,2023-04-01 08:01:20 UTC,31696,edd69ea7-aab6-4f30-98f4-640cb0a6046c
4,Barren Moor,Land,"",Common,$0.27,main,https://s.deckbox.org/system/images/mtg/cards/2072831.jpg,2023-04-01 09:36:38 UTC,10501,45be3811-a223-4c45-9b24-0317f2d53c60
1,Blood Celebrant,Creature - Human Cleric,{B},Common,$0.75,main,https://s.deckbox.org/system/images/mtg/cards/2077081.jpg,2023-04-01 08:01:06 UTC,10746,805de325-6f14-4a52-bb85-f9a9545d82a4
4,Cabal Ritual,Instant,{1}{B},Common,$12.58,main,https://s.deckbox.org/system/images/mtg/cards/2075463.jpg,2023-04-01 09:34:04 UTC,9616,5403b49d-03a7-4cc3-af3c-df098c1c9c2e
2,Dark Ritual,Instant,{B},Common,$3.93,main,https://s.deckbox.org/system/images/mtg/cards/2072801.jpg,2023-04-01 09:33:56 UTC,6836,3f0e9d0d-e1a3-4e0a-bf39-e9aaf4d36d67
3,Deadly Dispute,Instant,{1}{B},Common,$0.47,main,https://s.deckbox.org/system/images/mtg/cards/2116294.jpg,2023-04-01 09:35:55 UTC,243448,7373fe95-ad1c-44b9-8c7f-464ce8cbffc6
1,Dihada's Ploy,Instant,{1}{U}{B},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2115620.jpg,2023-04-01 09:35:26 UTC,240409,9091e8dc-b546-4b74-9dc9-aef55f60d13a
4,Drannith Healer,Creature - Human Cleric,{1}{W},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2108786.jpg,2023-04-01 08:04:32 UTC,212616,ff5a821c-eaec-4f69-97c7-8299cdebc2f4
4,Drannith Stinger,Creature - Human Wizard,{1}{R},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2108889.jpg,2023-04-01 08:05:03 UTC,212012,612ee4be-e7a2-423c-a37c-7c6ca97f630e
4,Horror of the Broken Lands,Creature - Horror,{4}{B},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2096191.jpg,2023-04-01 08:03:30 UTC,130236,35828576-124a-45d6-ad4c-af2926314953
4,Imposing Vantasaur,Creature - Dinosaur,{5}{W},Common,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2108793.jpg,2023-04-01 08:28:06 UTC,212797,b6fa5feb-f5e9-4079-acc9-84e458044769
4,Lotus Petal,Artifact,{0},Common,$21.87,main,https://s.deckbox.org/system/images/mtg/cards/2077880.jpg,2023-04-01 08:28:37 UTC,5615,6c877da3-68fa-41d0-8a24-8c79fcd8ecc1
1,Mystical Teachings,Instant,{3}{U},Uncommon,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2062709.jpg,2023-04-01 09:34:29 UTC,589355,3f88eacf-5c7b-4a35-86f0-af3b0516d4c2
4,Reaping the Graves,Instant,{2}{B},Common,$0.67,main,https://s.deckbox.org/system/images/mtg/cards/2077731.jpg,2023-04-01 09:35:06 UTC,10898,760a66bd-2821-4710-8f02-3c30772dd884
1,Repository Skaab,Creature - Zombie,{3}{U},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2023727.jpg,2023-04-01 09:36:56 UTC,253717,7cc22c2a-535a-46b5-817c-da5850abd669
3,Seat of the Synod,Artifact Land,"",Common,$0.81,main,https://s.deckbox.org/system/images/mtg/cards/2063704.jpg,2023-04-01 09:36:24 UTC,590309,f0cff35c-de07-4465-b3da-efe4a78eb6d0
4,Songs of the Damned,Instant,{B},Common,$1.07,main,https://s.deckbox.org/system/images/mtg/cards/2071885.jpg,2023-04-01 09:35:16 UTC,4890,6cff3547-8c72-439a-91fe-ebe729dab748
4,Street Wraith,Creature - Wraith,{3}{B}{B},Uncommon,$0.18,main,https://s.deckbox.org/system/images/mtg/cards/2107067.jpg,2023-04-01 07:55:30 UTC,204399,900503de-080d-43a7-b8d3-ebefd414d876
4,Vault of Whispers,Artifact Land,"",Common,$1.13,main,https://s.deckbox.org/system/images/mtg/cards/2059974.jpg,2023-04-01 09:36:13 UTC,579360,e85e4098-f872-4aa4-a71a-208b6090be28

