Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Chronic Flooding,Enchantment - Aura,{1}{U},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2085725.jpg,2025-05-12 10:06:15 UTC,66537,1a757425-3cf2-4aca-b415-5ec2d5f753fe
4,Compelling Argument,Sorcery,{1}{U},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2096108.jpg,2025-05-12 10:06:32 UTC,130202,7c35f4d5-2337-4ea0-a571-5a73e2d0d54a
4,Dream Twist,Instant,{U},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2084346.jpg,2025-05-12 10:07:21 UTC,56248,d5dd8790-bfdf-427d-8e8d-a5c3a64a3063
4,Memory Sluice,Sorcery,{UB},Common,$0.37,main,https://s.deckbox.org/system/images/mtg/cards/2070187.jpg,2025-05-12 10:10:13 UTC,18704,5fd93980-55f6-43a0-87db-5fa1203aa7b6
4,Merfolk Secretkeeper // Venture Deeper,Creature - Merfolk Wizard // Sorcery - Adventure,{U} // {U},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2105630.jpg,2025-05-12 10:04:23 UTC,199509,ceb7308d-608c-4ede-9496-d795fc5bb271
4,Mind Sculpt,Sorcery,{1}{U},Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2089528.jpg,2025-05-12 10:10:47 UTC,91296,037d6277-1fc3-41a4-ade6-7cca10535b0f
4,Stream of Thought,Sorcery,{U},Common,$0.39,main,https://s.deckbox.org/system/images/mtg/cards/2106794.jpg,2025-05-12 10:12:40 UTC,204174,f7a167fd-005d-455d-91f1-2a95afc4c1b0
3,Thought Collapse,Instant,{1}{U}{U},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2103542.jpg,2025-05-12 10:05:38 UTC,183407,948b569b-6341-418b-99b5-f79dfb3fe8dd
4,Thought Scour,Instant,{U},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2084803.jpg,2025-05-12 10:04:58 UTC,57678,88bf1ebb-9d85-4b9b-a614-c7f965c0893d
4,Tome Scour,Sorcery,{U},Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2086783.jpg,2025-05-12 10:05:11 UTC,69967,aed4cfec-5cea-4987-890e-825b2802e9f9
4,Vision Charm,Instant,{U},Common,$1.10,main,https://s.deckbox.org/system/images/mtg/cards/2076145.jpg,2025-05-12 10:04:35 UTC,5959,78b384d3-3adf-493a-8b89-bfe68fd1c3e2
4,Zulaport Duelist,Creature - Human Rogue,{U},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2111323.jpg,2025-05-12 10:04:15 UTC,221785,0b4c7268-60c6-4038-8ce9-d9d51bed4577

