Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Apostle's Blessing,Instant,{1}{WP},Common,$0.31,main,https://s.deckbox.org/system/images/mtg/cards/2083553.jpg,2025-05-20 08:49:58 UTC,39466,9f7c3571-925d-486e-80dd-bac47aa48283
3,Blight Mamba,Creature - Phyrexian Snake,{1}{G},Common,$0.23,main,https://s.deckbox.org/system/images/mtg/cards/2083010.jpg,2025-05-20 08:50:04 UTC,36396,cf9b3335-565c-406d-bd94-f36974602552
4,Blighted Agent,Creature - Phyrexian Human Rogue,{1}{U},Common,$1.31,main,https://s.deckbox.org/system/images/mtg/cards/2083500.jpg,2025-05-20 08:48:27 UTC,39492,cddaebde-a060-4510-8c97-68432d931987
4,Bountiful Landscape,Land,"",Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2291230.jpg,2025-05-20 08:52:25 UTC,624971,f1c99617-6e38-4af7-a064-6db9a5e2cc6a
4,Embiggen,Instant,{G},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2031889.jpg,2025-05-20 08:49:56 UTC,287983,1b759c27-9fb6-4c23-adc1-f6d3f3a0eb52
4,Forest,Basic Land - Forest,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2290725.jpg,2025-05-20 08:52:41 UTC,623978,8100bceb-ffba-487a-bb45-4fe2a156a8dc
4,Glistener Elf,Creature - Phyrexian Elf Warrior,{G},Common,$0.58,main,https://s.deckbox.org/system/images/mtg/cards/2083496.jpg,2025-05-20 08:47:38 UTC,39523,8b94f4c6-b518-43b3-be52-e889d1f3ea38
4,Ichorclaw Myr,Artifact Creature - Phyrexian Myr,{2},Common,$1.55,main,https://s.deckbox.org/system/images/mtg/cards/2083130.jpg,2025-05-20 09:13:53 UTC,36353,faef8b8b-2c45-4fed-b6ba-a8ac49c66330
2,Island,Basic Land - Island,"",BasicLand,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2290719.jpg,2025-05-20 08:52:43 UTC,623968,1ff6acc9-581c-468f-894d-41f725da7f33
4,Lotus Petal,Artifact,{0},Common,$21.87,main,https://s.deckbox.org/system/images/mtg/cards/2077880.jpg,2025-05-20 08:50:36 UTC,5615,6c877da3-68fa-41d0-8a24-8c79fcd8ecc1
4,Might of Old Krosa,Instant,{G},Uncommon,$0.46,main,https://s.deckbox.org/system/images/mtg/cards/2066419.jpg,2025-05-20 08:49:21 UTC,14292,7b7b2c47-2123-45c1-993c-e7a2c9438855
4,Mutagenic Growth,Instant,{GP},Common,$1.35,main,https://s.deckbox.org/system/images/mtg/cards/2061119.jpg,2025-05-20 08:49:20 UTC,583085,c75cf36a-a872-478d-9ed7-f4edc7a8c970
1,Rancor,Enchantment - Aura,{G},Uncommon,$0.74,main,https://s.deckbox.org/system/images/mtg/cards/2085601.jpg,2025-05-20 08:50:20 UTC,59810,b982558f-5b82-4918-9b54-c7ac1e6f8da5
4,Relic's Roar,Instant,{U},Common,$0.02,main,https://s.deckbox.org/system/images/mtg/cards/2048431.jpg,2025-05-20 08:49:19 UTC,526292,35096eb3-ad7b-4b6e-b799-cb4cc447883e
2,Seat of the Synod,Artifact Land,"",Common,$0.81,main,https://s.deckbox.org/system/images/mtg/cards/2063704.jpg,2025-05-20 08:53:01 UTC,590309,f0cff35c-de07-4465-b3da-efe4a78eb6d0
3,Shadow Rift,Instant,{U},Common,$1.51,main,https://s.deckbox.org/system/images/mtg/cards/2078043.jpg,2025-05-20 08:49:25 UTC,5722,57c11175-9feb-4801-9b46-d577d5ecef40
1,Snakeskin Veil,Instant,{G},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2290599.jpg,2025-05-20 08:49:41 UTC,624592,a3d2c692-7566-468e-9c86-47a9f768fde2
4,Tree of Tales,Artifact Land,"",Common,$0.76,main,https://s.deckbox.org/system/images/mtg/cards/2077819.jpg,2025-05-20 08:53:04 UTC,11309,94db07aa-43d3-41b5-924e-60f1756b9c69
2,Dispel,Instant,{U},Common,$0.29,sideboard,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-05-20 08:52:04 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
4,Gut Shot,Instant,{RP},Uncommon,$1.91,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083513.jpg,2025-05-20 08:53:21 UTC,39528,a54a2a30-b96a-49c7-9151-1f4b0d4a4413
4,Nature's Claim,Instant,{G},Common,$1.10,sideboard,https://s.deckbox.org/system/images/mtg/cards/2081992.jpg,2025-05-20 08:52:00 UTC,34405,64ae5a91-ac54-4222-832e-d7a740a3f7cb
3,Steel Sabotage,Instant,{U},Common,$0.20,sideboard,https://s.deckbox.org/system/images/mtg/cards/2083348.jpg,2025-05-20 08:52:02 UTC,39060,bb40de7c-1905-4615-844b-4abc231fb01e
2,Tormod's Crypt,Artifact,{0},Uncommon,$0.28,sideboard,https://s.deckbox.org/system/images/mtg/cards/2109839.jpg,2025-05-20 08:52:06 UTC,215346,9c224bf0-5641-4160-9d5c-46141ea8372a

