Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Birchlore Rangers,Creature - Elf Druid Ranger,{G},Common,$0.95,main,https://s.deckbox.org/system/images/mtg/cards/2076588.jpg,2019-11-30 23:13:52 UTC,10635,8ce3a3a1-3569-4909-a604-f78d4888781e
4,Distant Melody,Sorcery,{3}{U},Common,$0.65,main,https://s.deckbox.org/system/images/mtg/cards/2069707.jpg,2019-12-01 08:02:38 UTC,17972,5a28e4f9-3b68-40bb-bf77-850b08c6b096
3,Elvish Mystic,Creature - Elf Druid,{G},Common,$0.44,main,https://s.deckbox.org/system/images/mtg/cards/2089509.jpg,2019-11-30 23:14:09 UTC,90945,deb5ca6a-f91d-443d-ad84-6fe1e80bfb51
4,Elvish Vanguard,Creature - Elf Warrior,{1}{G},Common,$0.49,main,https://s.deckbox.org/system/images/mtg/cards/2099120.jpg,2023-04-01 08:11:40 UTC,162821,838a8d40-5268-467e-8d14-d9fd72253df6
2,Essence Warden,Creature - Elf Shaman,{G},Common,$2.78,main,https://s.deckbox.org/system/images/mtg/cards/2067005.jpg,2019-11-30 23:14:25 UTC,14720,da2a65d6-0887-4fe8-a6e6-909208fddd90
12,Forest,Basic Land - Forest,"",BasicLand,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2290725.jpg,2019-12-01 08:01:45 UTC,623978,8100bceb-ffba-487a-bb45-4fe2a156a8dc
2,Fyndhorn Elves,Creature - Elf Druid,{G},Common,$1.35,main,https://s.deckbox.org/system/images/mtg/cards/2070377.jpg,2019-11-30 23:14:45 UTC,4694,3ba95ffa-990a-4013-98b7-5d8c0b34e9c4
1,Island,Basic Land - Island,"",BasicLand,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2290719.jpg,2019-11-30 23:13:10 UTC,623968,1ff6acc9-581c-468f-894d-41f725da7f33
4,Lead the Stampede,Sorcery,{2}{G},Uncommon,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2108939.jpg,2019-11-30 23:18:30 UTC,212626,9e76b676-c7a3-4de6-a78d-3059a0df83f2
3,Llanowar Elves,Creature - Elf Druid,{G},Common,$0.19,main,https://s.deckbox.org/system/images/mtg/cards/2062342.jpg,2019-11-30 23:15:09 UTC,557921,6a0b230b-d391-4998-a3f7-7b158a0ec2cd
3,Lys Alana Huntmaster,Creature - Elf Warrior,{2}{G}{G},Common,$0.46,main,https://s.deckbox.org/system/images/mtg/cards/2035229.jpg,2019-12-01 08:03:21 UTC,454915,42df23b1-7d28-403f-bf12-d4ec81500c36
3,Priest of Titania,Creature - Elf Druid,{1}{G},Uncommon,$0.40,main,https://s.deckbox.org/system/images/mtg/cards/2056710.jpg,2019-11-30 23:16:20 UTC,541278,eb11921b-1b28-483f-a707-4de21a6daa31
3,Quirion Ranger,Creature - Elf Ranger,{G},Common,$0.59,main,https://s.deckbox.org/system/images/mtg/cards/2061130.jpg,2023-04-01 08:11:43 UTC,583216,11da032d-1cd5-48ed-ace7-fc042c4859e8
2,Sylvan Ranger,Creature - Elf Scout Ranger,{1}{G},Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2082714.jpg,2019-11-30 23:16:42 UTC,35550,5f73ea30-c6d2-4224-ae54-f6b89e006cf4
4,Timberwatch Elf,Creature - Elf,{2}{G},Common,$0.60,main,https://s.deckbox.org/system/images/mtg/cards/2070103.jpg,2019-11-30 23:17:24 UTC,10812,045ae4ec-07f2-4098-a2d9-4bfcbd0273b2
2,Viridian Longbow,Artifact - Equipment,{1},Common,$0.67,main,https://s.deckbox.org/system/images/mtg/cards/2061477.jpg,2019-12-01 08:02:23 UTC,583200,6f10358e-4639-4873-9d0d-18f1b092b365
3,Wellwisher,Creature - Elf,{1}{G},Common,$2.27,main,https://s.deckbox.org/system/images/mtg/cards/2070080.jpg,2019-11-30 23:17:06 UTC,10363,be95ab7c-0e77-4293-aa48-ee54902a363f
1,Wildheart Invoker,Creature - Elf Shaman,{2}{G}{G},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2062676.jpg,2019-11-30 23:17:53 UTC,591822,60f42969-bb5c-4183-8bd3-ba87f008391d
3,Blue Elemental Blast,Instant,{U},Common,$0.70,sideboard,https://s.deckbox.org/system/images/mtg/cards/2073671.jpg,2019-11-30 23:21:30 UTC,1349,0892ec35-8bab-4fe5-8cc9-a25032d4bc8d
3,Gleeful Sabotage,Sorcery,{1}{G},Common,$0.29,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070157.jpg,2019-11-30 23:22:17 UTC,18645,d1b7d043-5f52-4df6-8dcf-5174a5b0c9cc
2,Relic of Progenitus,Artifact,{1},Common,$4.72,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070899.jpg,2019-11-30 23:22:02 UTC,27769,90c41192-64ef-43aa-9af0-75f0d3f56688
2,Scattershot Archer,Creature - Elf Archer,{G},Common,$0.84,sideboard,https://s.deckbox.org/system/images/mtg/cards/2072010.jpg,2019-11-30 23:22:00 UTC,28598,d74d6cdb-a087-4b3d-bf25-509200ed6d93
2,Spidersilk Armor,Enchantment,{2}{G},Common,$1.13,sideboard,https://s.deckbox.org/system/images/mtg/cards/2073228.jpg,2019-11-30 23:22:39 UTC,6708,9eb7694f-af4c-4152-b868-528257d05154
2,Wrap in Vigor,Instant,{1}{G},Common,$1.52,sideboard,https://s.deckbox.org/system/images/mtg/cards/2068136.jpg,2019-11-30 23:22:31 UTC,15020,070d438a-ce68-480b-bdfc-1fc3e151e5f8

