Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Bellowing Crier,Creature - Frog Advisor,{1}{U},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2058046.jpg,2025-05-12 10:23:45 UTC,559561,ca2215dd-6300-49cf-b9b2-3a840b786c31
2,Deep Analysis,Sorcery,{3}{U},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2291038.jpg,2025-06-04 14:29:39 UTC,624163,2d93b071-d303-4892-bac4-77a75eaa91a1
3,Forest,Basic Land - Forest,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2290725.jpg,2025-06-04 14:29:32 UTC,623978,8100bceb-ffba-487a-bb45-4fe2a156a8dc
2,Generous Ent,Creature - Treefolk,{5}{G},Common,$0.49,main,https://s.deckbox.org/system/images/mtg/cards/2042821.jpg,2025-05-12 10:24:29 UTC,498328,85d22d5d-3875-42ff-b51e-c6e21db201f5
4,Glistener Seer,Creature - Phyrexian Advisor,{U},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2037206.jpg,2025-05-12 10:24:16 UTC,479565,c22aaaec-bad5-43e9-8e92-9c4bde95fcfd
2,Gnaw to the Bone,Instant,{2}{G},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2084471.jpg,2025-06-04 14:30:56 UTC,56313,416148c8-13d3-46d3-ac93-6eb7cbab2881
11,Island,Basic Land - Island,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2290720.jpg,2025-06-04 14:29:34 UTC,623969,15be7923-6efc-4650-b8d1-f61cb33ef81d
3,Lead the Stampede,Sorcery,{2}{G},Uncommon,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2108939.jpg,2025-06-04 14:28:05 UTC,212626,9e76b676-c7a3-4de6-a78d-3059a0df83f2
4,Masked Vandal,Creature - Shapeshifter,{1}{G},Common,$0.71,main,https://s.deckbox.org/system/images/mtg/cards/2113265.jpg,2025-05-12 10:24:46 UTC,230134,f0a9c72a-e450-41e3-80e5-06f2f1171245
3,Mothdust Changeling,Creature - Shapeshifter,{U},Common,$0.74,main,https://s.deckbox.org/system/images/mtg/cards/2060713.jpg,2025-06-04 14:29:05 UTC,581626,3b394bfc-b237-4002-8540-90e6e9c405cb
12,Persistent Petitioners,Creature - Human Advisor,{1}{U},Common,$0.74,main,https://s.deckbox.org/system/images/mtg/cards/2103612.jpg,2025-05-12 10:21:19 UTC,183310,e93f0c57-eb80-4dde-bdb0-326970491621
4,Pond Prophet,Creature - Frog Advisor,{GU}{GU},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2058233.jpg,2025-05-12 10:23:49 UTC,558431,fb959e74-61ea-453d-bb9f-ad0183c0e1b1
2,Rimewood Falls,Snow Land - Forest Island,"",Common,$0.73,main,https://s.deckbox.org/system/images/mtg/cards/2113347.jpg,2025-06-04 14:29:52 UTC,230117,da1db084-f235-4e26-8867-5f0835a0d283
2,Sibsig Appraiser,Creature - Zombie Advisor,{2}{U},Common,$0.01,main,https://s.deckbox.org/system/images/mtg/cards/2290496.jpg,2025-06-04 14:28:56 UTC,625209,670c5b96-bac6-449b-a2bd-cb43750d3911
2,Simic Growth Chamber,Land,"",Common,$0.39,main,https://s.deckbox.org/system/images/mtg/cards/2081008.jpg,2025-06-04 14:29:25 UTC,13944,407d0a0c-a6be-4bd5-8355-1715698c6bde
3,Annul,Instant,{U},Common,$0.18,sideboard,https://s.deckbox.org/system/images/mtg/cards/2113123.jpg,2025-06-04 14:27:19 UTC,230186,4b1d4a59-11a0-4a55-8ac0-07377a9e6dc8
3,Dispel,Instant,{U},Common,$0.31,sideboard,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-06-04 14:27:23 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
1,Phantom Interference,Instant,{U},Common,$0.05,sideboard,https://s.deckbox.org/system/images/mtg/cards/2055026.jpg,2025-06-04 14:31:17 UTC,544713,00bf4dd1-5468-4594-9c7b-0737610f19d4
1,Rimewood Falls,Snow Land - Forest Island,"",Common,$0.73,sideboard,https://s.deckbox.org/system/images/mtg/cards/2113347.jpg,2025-05-12 10:26:22 UTC,230117,da1db084-f235-4e26-8867-5f0835a0d283
3,Spellstutter Sprite,Creature - Faerie Wizard,{1}{U},Common,$3.78,sideboard,https://s.deckbox.org/system/images/mtg/cards/2068896.jpg,2025-06-04 14:27:05 UTC,15633,4e5ba4a9-a282-4d4b-b25a-179e05e458f4
2,Tormod's Crypt,Artifact,{0},Uncommon,$0.28,sideboard,https://s.deckbox.org/system/images/mtg/cards/2109839.jpg,2025-05-12 10:25:03 UTC,215346,9c224bf0-5641-4160-9d5c-46141ea8372a
2,Winding Way,Sorcery,{1}{G},Common,$0.41,sideboard,https://s.deckbox.org/system/images/mtg/cards/2055758.jpg,2025-06-04 14:31:59 UTC,545093,d3340062-3071-4d8e-98f8-fd3343a011ad

