Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Alms of the Vein,Sorcery,{2}{B},Common,$0.50,main,https://s.deckbox.org/system/images/mtg/cards/2093434.jpg,2025-05-10 14:44:02 UTC,116358,79b80948-a3cd-4962-8fce-d58f2db7e68e
1,Bojuka Bog,Land,"",Common,$0.68,main,https://s.deckbox.org/system/images/mtg/cards/2291229.jpg,2025-05-10 18:36:56 UTC,624293,38834333-f9ea-43a8-b00a-17935d59eaea
4,Faithless Looting,Sorcery,{R},Common,$0.30,main,https://s.deckbox.org/system/images/mtg/cards/2084749.jpg,2025-05-10 14:43:08 UTC,57594,a1b0da17-d595-441d-811c-a2d28d2bb232
4,Fiery Temper,Instant,{1}{R}{R},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2093443.jpg,2025-05-10 14:43:48 UTC,115275,61caf82d-e077-4931-a6ad-09fa7f04b36f
4,Grab the Prize,Sorcery,{1}{R},Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2059355.jpg,2025-05-10 14:44:07 UTC,576881,50895202-f1a1-4840-a11a-55b78b8b5929
4,Jagged Barrens,Land - Desert,"",Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2055224.jpg,2025-05-10 18:37:06 UTC,544236,5d809f5b-d965-4cb1-a9f8-2048f8534373
4,Kitchen Imp,Creature - Imp,{3}{B},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2115770.jpg,2025-05-10 14:27:49 UTC,239724,20c7b777-c002-45c7-b2bb-d21dab591445
4,Lightning Bolt,Instant,{R},Uncommon,$0.85,main,https://s.deckbox.org/system/images/mtg/cards/2052873.jpg,2025-05-10 14:43:43 UTC,534658,77c6fa74-5543-42ac-9ead-0e890b188e99
8,Mountain,Basic Land - Mountain,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2290723.jpg,2025-05-10 18:37:09 UTC,623975,bfa10a88-12e0-4b79-80bb-6f4620277e20
4,Rakdos Carnarium,Land,"",Common,$0.28,main,https://s.deckbox.org/system/images/mtg/cards/2052975.jpg,2025-05-10 18:36:24 UTC,534741,b2eaa0f2-9f8e-4b41-8916-9c9a985c39de
4,Sneaky Snacker,Creature - Faerie Rogue,{U}{B},Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2056604.jpg,2025-05-10 14:28:23 UTC,553311,0e3aedae-e4bb-48e3-9f8b-bea0430df306
1,Stormshriek Feral // Flush Out,Creature - Dragon // Sorcery - Omen,{4}{R} // {1}{R},Common,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2290564.jpg,2025-05-10 14:28:34 UTC,624736,0ec92c44-7cf0-48a5-a3ca-bc633496d887
3,Swamp,Basic Land - Swamp,"",BasicLand,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2295407.jpg,2025-05-10 18:36:36 UTC,630888,f66094ef-059b-4511-aa6e-835906736de4
4,Vampire's Kiss,Sorcery,{1}{B},Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2023799.jpg,2025-05-10 14:42:58 UTC,254799,974bf8cc-4259-48cc-8e7f-1580bb010d3f
4,Voldaren Epicure,Creature - Vampire,{R},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2024001.jpg,2025-05-10 14:28:11 UTC,253792,feda6bb3-ee22-489c-bcfd-52ef04841024
3,Witch's Mark,Sorcery,{1}{R},Common,$0.09,main,https://s.deckbox.org/system/images/mtg/cards/2046194.jpg,2025-05-10 14:44:11 UTC,513980,0685afcb-06f6-4d18-b8c2-510764558dc1
2,Bone Shards,Sorcery,{B},Common,$0.19,sideboard,https://s.deckbox.org/system/images/mtg/cards/2061577.jpg,2025-05-10 18:39:23 UTC,582594,aaf8da46-ed95-4812-8085-5e14b3c2df0e
2,Breath Weapon,Instant,{2}{R},Common,$1.06,sideboard,https://s.deckbox.org/system/images/mtg/cards/2028294.jpg,2025-05-10 18:38:50 UTC,273294,0174e40a-0ef5-4439-91e6-3fc39f482520
3,Contaminated Ground,Enchantment - Aura,{1}{B},Common,$0.13,sideboard,https://s.deckbox.org/system/images/mtg/cards/2086018.jpg,2025-05-10 18:38:23 UTC,67534,c2384356-0a62-499a-8b28-085974331368
2,End the Festivities,Sorcery,{R},Common,$0.66,sideboard,https://s.deckbox.org/system/images/mtg/cards/2023821.jpg,2025-05-10 18:39:42 UTC,253770,bec748e6-7245-4a71-aeee-cefed8346948
2,Extract a Confession,Sorcery,{1}{B},Common,$0.07,sideboard,https://s.deckbox.org/system/images/mtg/cards/2052003.jpg,2025-05-10 18:38:52 UTC,532879,256c8b6e-4031-458b-8eb9-bbfe58405a0c
2,Faerie Macabre,Creature - Faerie Rogue,{1}{B}{B},Common,$1.30,sideboard,https://s.deckbox.org/system/images/mtg/cards/2060073.jpg,2025-05-10 18:39:26 UTC,563099,b666a543-6570-4789-9ec4-8d8922181274
2,Smash to Smithereens,Instant,{1}{R},Common,$0.26,sideboard,https://s.deckbox.org/system/images/mtg/cards/2091721.jpg,2025-05-10 18:38:30 UTC,100330,655c489f-bffb-45a4-8e7c-2d1a35220197

