Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Corrupted Conviction,Instant,{B},Common,$0.10,main,https://s.deckbox.org/system/images/mtg/cards/2055049.jpg,2025-05-22 12:45:48 UTC,544718,8046f892-3317-4ef7-9cf7-97b9060540c8
4,Dispel,Instant,{U},Common,$0.31,main,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-05-22 13:00:47 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
4,Dynamite Diver,Creature - Goblin Pilot,{R},Common,$0.03,main,https://s.deckbox.org/system/images/mtg/cards/2099803.jpg,2025-05-22 12:54:07 UTC,616091,5a4f96f6-dd91-4357-ae19-1c35db2c2bcb
4,Eroded Canyon,Land - Desert,"",Common,$0.15,main,https://s.deckbox.org/system/images/mtg/cards/2055221.jpg,2025-05-22 13:02:58 UTC,544233,5c9d080f-28d7-41d6-a4e0-5b3e3a5ed770
2,Eviscerator's Insight,Instant,{1}{B},Common,$0.12,main,https://s.deckbox.org/system/images/mtg/cards/2056492.jpg,2025-06-05 07:45:57 UTC,552853,b00573bd-5bbb-4531-a0bb-a40f62b92b88
4,Fear of Lost Teeth,Enchantment Creature - Nightmare,{B},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2059314.jpg,2025-05-22 13:00:25 UTC,575062,259045fe-f349-4be1-bf29-465d084ed35e
4,Footlight Fiend,Creature - Devil,{BR},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2103427.jpg,2025-05-22 12:50:38 UTC,183357,8c604697-5c81-4329-9b16-f19bd90ba08c
4,Goblin Arsonist,Creature - Goblin Shaman,{R},Common,$0.04,main,https://s.deckbox.org/system/images/mtg/cards/2109745.jpg,2025-05-22 12:44:38 UTC,215574,fa4bf664-3b92-4598-b905-2bc090958c8b
4,Lightning Bolt,Instant,{R},Uncommon,$0.85,main,https://s.deckbox.org/system/images/mtg/cards/2052873.jpg,2025-05-22 13:09:16 UTC,534658,77c6fa74-5543-42ac-9ead-0e890b188e99
4,Mountain,Basic Land - Mountain,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2290723.jpg,2025-06-04 14:47:51 UTC,623975,bfa10a88-12e0-4b79-80bb-6f4620277e20
4,Reckless Abandon,Sorcery,{R},Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2069526.jpg,2025-05-22 12:45:27 UTC,6229,8f335d43-cacb-40ad-93c1-9a861e9f66c7
4,Serrated Scorpion,Creature - Scorpion,{B},Common,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2108875.jpg,2025-05-22 12:44:45 UTC,212757,bc8f0242-35e1-4409-9321-56e742e8fef4
4,Soured Springs,Land - Desert,"",Common,$0.11,main,https://s.deckbox.org/system/images/mtg/cards/2055229.jpg,2025-05-22 13:03:01 UTC,544237,67daa31c-d9c4-4c22-b29c-1b8a17d577e5
2,Spell Pierce,Instant,{U},Uncommon,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2099744.jpg,2025-06-05 07:38:50 UTC,616070,8dd4374f-0301-4b2e-bc99-2cd19568cb3b
4,Swamp,Basic Land - Swamp,"",BasicLand,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2295407.jpg,2025-06-04 14:47:42 UTC,630888,f66094ef-059b-4511-aa6e-835906736de4
4,Village Rites,Instant,{B},Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2113198.jpg,2025-05-22 12:45:49 UTC,230172,0fab9ee8-776a-48e5-b309-bcd381e67bf7
4,Annihilating Glare,Sorcery,{B},Common,$0.04,sideboard,https://s.deckbox.org/system/images/mtg/cards/2037232.jpg,2025-06-05 07:40:25 UTC,479626,be5d0b95-ec12-4e8e-99a0-7aca457f9107
4,Body Dropper,Creature - Devil Warrior,{B}{R},Common,$0.04,sideboard,https://s.deckbox.org/system/images/mtg/cards/2026615.jpg,2025-06-05 07:41:46 UTC,268796,0fcb6d47-dccb-4b69-aed4-7a6215857606
4,Collateral Damage,Instant,{R},Common,$0.02,sideboard,https://s.deckbox.org/system/images/mtg/cards/2090579.jpg,2025-06-05 07:43:46 UTC,95406,fb738362-b0b4-4811-9fbf-5f45c852c822
3,Duress,Sorcery,{B},Common,$0.12,sideboard,https://s.deckbox.org/system/images/mtg/cards/2062721.jpg,2025-06-05 07:39:00 UTC,589335,34c3a894-ee75-4db9-a69f-711bb3cc150a
4,Eaten Alive,Sorcery,{B},Common,$0.02,sideboard,https://s.deckbox.org/system/images/mtg/cards/2062287.jpg,2025-06-05 07:45:19 UTC,591671,1c4f7b20-b2a8-498c-8c36-dc296863b0b9

