Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
4,Forest,Basic Land - Forest,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2290725.jpg,2025-06-04 14:43:31 UTC,623978,8100bceb-ffba-487a-bb45-4fe2a156a8dc
4,Gemhide Sliver,Creature - Sliver,{1}{G},Common,$0.33,main,https://s.deckbox.org/system/images/mtg/cards/2066814.jpg,2025-06-04 14:36:00 UTC,14243,f09135b0-fd57-4205-aa74-c9869946c264
4,Generous Ent,Creature - Treefolk,{5}{G},Common,$0.49,main,https://s.deckbox.org/system/images/mtg/cards/2042821.jpg,2025-06-04 14:36:09 UTC,498328,85d22d5d-3875-42ff-b51e-c6e21db201f5
4,Hunter Sliver,Creature - Sliver,{1}{R},Common,$0.56,main,https://s.deckbox.org/system/images/mtg/cards/2077186.jpg,2025-06-04 14:37:00 UTC,10782,ca9aea1a-6f50-4f66-9f36-2e214dce41b4
1,Lead the Stampede,Sorcery,{2}{G},Uncommon,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2108939.jpg,2025-06-04 14:41:34 UTC,212626,9e76b676-c7a3-4de6-a78d-3059a0df83f2
1,Masked Vandal,Creature - Shapeshifter,{1}{G},Common,$0.71,main,https://s.deckbox.org/system/images/mtg/cards/2113265.jpg,2025-06-04 14:38:22 UTC,230134,f0a9c72a-e450-41e3-80e5-06f2f1171245
2,Mountain,Basic Land - Mountain,"",BasicLand,$0.07,main,https://s.deckbox.org/system/images/mtg/cards/2290723.jpg,2025-06-04 14:43:39 UTC,623975,bfa10a88-12e0-4b79-80bb-6f4620277e20
4,Muscle Sliver,Creature - Sliver,{1}{G},Common,$0.76,main,https://s.deckbox.org/system/images/mtg/cards/2078094.jpg,2025-06-04 14:37:14 UTC,5646,602a1e1f-4195-48c0-8290-562e7e0db6d8
4,Plains,Basic Land - Plains,"",BasicLand,$0.08,main,https://s.deckbox.org/system/images/mtg/cards/2290717.jpg,2025-06-04 14:43:33 UTC,623965,12cff32a-a365-43ee-a196-8ce32b3bb9fd
4,Plated Sliver,Creature - Sliver,{W},Common,$0.46,main,https://s.deckbox.org/system/images/mtg/cards/2076884.jpg,2025-06-04 14:37:16 UTC,10710,82846d31-4981-4ef1-85c3-703569146a84
4,Predatory Sliver,Creature - Sliver,{1}{G},Common,$0.53,main,https://s.deckbox.org/system/images/mtg/cards/2086791.jpg,2025-06-04 14:37:39 UTC,69180,a2e37de8-66a1-4afa-aa6f-1151f849dfa8
2,Quick Sliver,Creature - Sliver,{1}{G},Common,$0.35,main,https://s.deckbox.org/system/images/mtg/cards/2076887.jpg,2025-06-04 14:37:41 UTC,10692,30a60b2d-aeeb-4dbf-bf1a-20a274fe323f
2,Radiant Grove,Land - Forest Plains,"",Common,$0.16,main,https://s.deckbox.org/system/images/mtg/cards/2030650.jpg,2025-06-04 14:44:01 UTC,283637,e0f9dca6-e5ae-4714-8a59-2ef1d8f1e82d
2,Sentinel Sliver,Creature - Sliver,{1}{W},Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2086758.jpg,2025-06-04 14:38:02 UTC,68223,74c28560-e6ac-4be9-a253-22c4613b0d90
4,Sheltering Landscape,Land,"",Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2056626.jpg,2025-06-04 14:44:17 UTC,553295,0fe070f4-8877-4280-b8fd-869f3ac34ab6
4,Sidewinder Sliver,Creature - Sliver,{W},Common,$0.42,main,https://s.deckbox.org/system/images/mtg/cards/2066806.jpg,2025-06-04 14:38:16 UTC,14357,b073b8f2-b42d-40f2-b5fb-e78ffb1733ea
4,Sinew Sliver,Creature - Sliver,{1}{W},Common,$0.60,main,https://s.deckbox.org/system/images/mtg/cards/2067154.jpg,2025-06-04 14:38:14 UTC,14810,6cd2ed50-cd9a-45d9-a59a-6279be1ab308
4,Winding Way,Sorcery,{1}{G},Common,$0.41,main,https://s.deckbox.org/system/images/mtg/cards/2055758.jpg,2025-06-04 14:41:41 UTC,545093,d3340062-3071-4d8e-98f8-fd3343a011ad
2,Wooded Ridgeline,Land - Mountain Forest,"",Common,$0.14,main,https://s.deckbox.org/system/images/mtg/cards/2030657.jpg,2025-06-04 14:44:03 UTC,283640,e8e31184-dca4-48b1-be9d-581247c41d99
2,Faerie Macabre,Creature - Faerie Rogue,{1}{B}{B},Common,$1.30,sideboard,https://s.deckbox.org/system/images/mtg/cards/2060073.jpg,2025-06-04 14:44:43 UTC,563099,b666a543-6570-4789-9ec4-8d8922181274
2,Flaring Pain,Instant,{1}{R},Common,$1.05,sideboard,https://s.deckbox.org/system/images/mtg/cards/2060991.jpg,2025-06-04 14:45:05 UTC,583284,a57f932c-5560-417a-8ed4-3ba2c582fb28
3,Gilded Light,Instant,{1}{W},Uncommon,$0.20,sideboard,https://s.deckbox.org/system/images/mtg/cards/2077047.jpg,2025-06-04 14:45:03 UTC,10845,01b92597-cb1e-4b8f-9ee9-07b48cf1a5c6
2,Masked Vandal,Creature - Shapeshifter,{1}{G},Common,$0.71,sideboard,https://s.deckbox.org/system/images/mtg/cards/2113265.jpg,2025-06-04 14:36:23 UTC,230134,f0a9c72a-e450-41e3-80e5-06f2f1171245
3,Prismatic Strands,Instant,{2}{W},Common,$1.49,sideboard,https://s.deckbox.org/system/images/mtg/cards/2075831.jpg,2025-06-04 14:45:36 UTC,10170,3454ef42-2e0b-4ce4-945f-e4ec3e83c39d
