Count,Name,Type,Cost,Rarity,Price,Section,Image URL,Last Updated,TcgPlayer ID,Scryfall ID
1,Azorius Guildgate,Land - Gate,"",Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2062798.jpg,2025-06-05 15:26:02 UTC,591088,f98a7264-0a83-42c8-a94d-05ad4c234242
4,Basilisk Gate,Land - Gate,"",Common,$0.29,main,https://s.deckbox.org/system/images/mtg/cards/2060135.jpg,2025-06-05 15:25:01 UTC,563062,0f2587b5-ab79-4b14-8b49-83e94cef177f
4,Brainstorm,Instant,{U},Common,$1.41,main,https://s.deckbox.org/system/images/mtg/cards/2071619.jpg,2025-06-05 15:21:50 UTC,2057,1d6603e3-0680-4ba3-951b-cd9919eefd4f
4,Citadel Gate,Land - Gate,"",Common,$0.32,main,https://s.deckbox.org/system/images/mtg/cards/2065419.jpg,2025-06-05 15:25:13 UTC,600069,7dca83ce-1b75-4dcc-a839-598106a92ca9
4,Counterspell,Instant,{U}{U},Common,$1.33,main,https://s.deckbox.org/system/images/mtg/cards/2072006.jpg,2025-06-05 15:22:22 UTC,5503,dacdd380-71cf-4832-bd02-3697501325f3
1,Dispel,Instant,{U},Common,$0.31,main,https://s.deckbox.org/system/images/mtg/cards/2092181.jpg,2025-06-05 15:22:33 UTC,105594,bceab6b3-6b64-4964-a501-ce806a6c13ad
1,Guardian of the Guildpact,Creature - Spirit,{3}{W},Common,$0.51,main,https://s.deckbox.org/system/images/mtg/cards/2066065.jpg,2025-06-05 15:21:41 UTC,13872,c8dd004b-01e4-4fe1-a164-9f2ea8d7d88e
2,Heap Gate,Land - Gate,"",Common,$0.26,main,https://s.deckbox.org/system/images/mtg/cards/2065423.jpg,2025-06-05 15:23:20 UTC,600079,756a8e0a-f76e-4947-ac67-bc76d6fe98a6
1,Idyllic Beachfront,Land - Plains Island,"",Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2030646.jpg,2025-06-05 15:25:34 UTC,283633,c50ec22c-decb-419f-ae52-78ea1706eb11
4,Island,Basic Land - Island,"",BasicLand,$0.05,main,https://s.deckbox.org/system/images/mtg/cards/2290720.jpg,2025-06-05 15:25:39 UTC,623969,15be7923-6efc-4650-b8d1-f61cb33ef81d
4,Journey to Nowhere,Enchantment,{1}{W},Common,$0.34,main,https://s.deckbox.org/system/images/mtg/cards/2081626.jpg,2025-06-05 15:23:05 UTC,33334,09cfe585-8a55-4b27-89e0-dfb6946fe1f3
4,Lórien Revealed,Sorcery,{3}{U}{U},Common,$1.22,main,https://s.deckbox.org/system/images/mtg/cards/2042712.jpg,2025-06-05 15:23:03 UTC,499960,0ce44270-a684-4489-9077-521456e6dfaa
2,Outlaw Medic,Creature - Human Rogue,{1}{W},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2054988.jpg,2025-06-05 15:18:06 UTC,544627,2feaa51e-47fb-4849-b420-ee7278f3489a
4,Prismatic Strands,Instant,{2}{W},Common,$1.49,main,https://s.deckbox.org/system/images/mtg/cards/2075831.jpg,2025-06-05 15:22:24 UTC,10170,3454ef42-2e0b-4ce4-945f-e4ec3e83c39d
4,Sacred Cat,Creature - Cat,{W},Common,$0.25,main,https://s.deckbox.org/system/images/mtg/cards/2096172.jpg,2025-06-05 15:17:32 UTC,129753,08891c78-13c1-4d84-aa9c-78346b3b7d18
4,Sea Gate,Land - Gate,"",Common,$0.21,main,https://s.deckbox.org/system/images/mtg/cards/2065426.jpg,2025-06-05 15:23:22 UTC,600085,dfc51143-c2cb-4cb6-836e-662bc1b15afb
2,Spell Pierce,Instant,{U},Uncommon,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2099744.jpg,2025-06-05 15:22:43 UTC,616070,8dd4374f-0301-4b2e-bc99-2cd19568cb3b
4,Squadron Hawk,Creature - Bird,{1}{W},Common,$0.17,main,https://s.deckbox.org/system/images/mtg/cards/2082739.jpg,2025-06-05 15:17:52 UTC,35508,beddd409-0154-45a5-a20d-833cf1b5e1f4
4,The Modern Age // Vector Glider,Enchantment - Saga // Enchantment Creature - Spirit,{1}{U},Common,$0.06,main,https://s.deckbox.org/system/images/mtg/cards/2025546.jpg,2025-06-05 15:17:40 UTC,261985,ee60a8e9-3201-4a7e-8aa4-2c5e1042c8a5
2,Thraben Charm,Instant,{1}{W},Common,$0.13,main,https://s.deckbox.org/system/images/mtg/cards/2056444.jpg,2025-06-05 15:22:46 UTC,552284,dd28a646-f38f-4cdf-948c-969cd979e5e6
3,Dust to Dust,Sorcery,{1}{W}{W},Uncommon,$5.01,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070321.jpg,2025-06-05 15:26:54 UTC,2119,6e8a9a5c-0e5f-4498-88d8-6aac465923b1
3,Essence Scatter,Instant,{1}{U},Uncommon,$0.03,sideboard,https://s.deckbox.org/system/images/mtg/cards/2062268.jpg,2025-06-05 15:26:51 UTC,591303,dd05c850-f91e-4ffb-b4cc-8418d49dad90
4,Hydroblast,Instant,{U},Uncommon,$2.09,sideboard,https://s.deckbox.org/system/images/mtg/cards/2070380.jpg,2025-06-05 15:26:49 UTC,2204,89a30b8f-6594-42ea-8e60-13ccb1e7efc0

